"agency","2017 actual","2018 annualized cr","2019 proposed","dollar change 2018-19","percent change 2018-19"
"department of defensea","49197","43616","57156","13540","31"
"department of health and human services","34222","33772","24742","-9030","-27"
"department of energy","14896","15006","12685","-2321","-15"
"national aeronautics and space administration","10704","10243","10651","408","4"
"national science foundation","5938","6030","4177","-1853","-31"
"department of agriculture","2585","2487","2914","-573","-23"
"department of veterans affairs","1346","1338","1345","7","1"
"department of commerce","1794","1833","1361","-472","-26"
"department of transportation","904","929","826","-103","-11"
"department of the interior","953","964","759","-205","-21"
"patient-centered outcomes research trust fund","463","501","622","121","24"
"department of homeland security","724","672","548","-124","-18"
"smithsonian institution","251","242","271","29","12"
"environmental protection agency","497","496","269","-227","-46"
"department of education","254","243","240","-3","-1"
"other","561","629","490","-139","-22"
"totalb","125289","119001","118056","-945","-1"
"total","154983","153932","156777","2845","2"
