"club","season","league","league","league","cup","cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"manchester united","1983-84","first division","11","4","0","0","2","1","4","0","0","0","17","5"
"manchester united","1984-85","first division","38","16","7","3","2","3","8","2","0","0","55","24"
"manchester united","1985-86","first division","40","17","3","1","2","0","0","0","4","0","49","18"
"manchester united","total","total","89","37","10","4","6","4","12","2","4","0","121","47"
"barcelona","1986-87","la liga","28","4","2","0","-","-","7","1","0","0","36","5"
"barcelona","total","total","28","4","2","0","-","-","7","1","0","0","36","5"
"bayern munich","1987-88","bundesliga","18","6","3","1","-","-","2","0","0","0","23","7"
"bayern munich","total","total","18","6","3","1","-","-","2","0","0","0","23","7"
"manchester united","1988-89","first division","38","14","7","2","3","0","0","0","3","0","51","16"
"manchester united","1989-90","first division","37","13","8","2","3","0","0","0","0","0","48","15"
"manchester united","1990-91","first division","31","10","3","2","9","6","8","3","1","0","52","21"
"manchester united","1991-92","first division","39","11","3","1","6","0","4","2","1","0","53","14"
"manchester united","1992-93","premier league","41","15","2","0","3","1","2","0","0","0","48","16"
"manchester united","1993-94","premier league","36","12","7","4","8","5","2","0","1","1","54","22"
"manchester united","1994-95","premier league","34","8","6","2","0","0","5","2","1","0","47","12"
"manchester united","total","total","256","83","36","13","32","12","21","7","7","1","352","116"
"chelsea","1995-96","premier league","31","8","6","4","2","0","0","0","0","0","39","12"
"chelsea","1996-97","premier league","35","8","7","5","2","1","0","0","0","0","44","14"
"chelsea","1997-98","premier league","29","9","1","0","6","2","3","1","1","1","40","13"
"chelsea","total","total","95","25","14","9","10","3","3","1","1","1","123","39"
"southampton","1998-99","premier league","32","1","2","0","2","0","0","0","0","0","36","1"
"southampton","1999-2000","premier league","20","1","2","0","3","0","0","0","0","0","25","1"
"southampton","total","total","52","2","4","0","5","0","0","0","0","0","61","2"
"everton","1999-2000","premier league","9","1","0","0","0","0","0","0","0","0","9","1"
"everton","2000-01","premier league","9","0","0","0","1","0","0","0","0","0","10","0"
"everton","total","total","18","1","0","0","1","0","0","0","0","0","19","1"
"blackburn rovers","2000-01","first division","29","5","5","0","0","0","0","0","0","0","34","5"
"blackburn rovers","2001-02","premier league","21","1","3","0","6","1","0","0","0","0","30","2"
"blackburn rovers","total","total","50","6","8","0","6","1","0","0","0","0","64","7"
"career total","career total","career total","606","164","77","27","60","20","45","11","12","2","799","224"
