"no","pos","nat","player","total","total","spl","spl","scottish cup","scottish cup","league cup","league cup","europa league","europa league"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"1","gk","slovakia","dusan pernis","45","0","38+0","0","3+0","0","2+0","0","2+0","0"
"2","df","republic of ireland","sean dillon","33","0","26+2","0","2+1","0","0+0","0","2+0","0"
"3","df","scotland","paul dixon","44","3","37+0","3","3+0","0","2+0","0","2+0","0"
"4","df","scotland","scott severin","4","0","2+0","0","0+0","0","0+0","0","2+0","0"
"5","df","scotland","garry kenneth","31","0","21+4","0","2+1","0","2+0","0","1+0","0"
"6","mf","republic of ireland","willo flood","39","1","30+2","1","2+1","0","2+0","0","2+0","0"
"7","fw","scotland","david goodwillie","3","1","1+0","0","0+0","0","0+0","0","2+0","1"
"7","mf","republic of ireland","richie ryan","15","0","2+12","0","0+1","0","0+0","0","0+0","0"
"8","mf","scotland","scott robertson","41","8","34+3","7","3+0","1","1+0","0","0+0","0"
"9","fw","republic of ireland","jon daly","43","22","35+1","19","3+0","0","1+1","2","2+0","1"
"10","mf","scotland","danny swanson","16","3","6+8","3","0+0","0","1+0","0","0+1","0"
"11","mf","scotland","john rankin","45","5","38+0","4","3+0","1","2+0","0","2+0","0"
"12","df","scotland","keith watson","20","2","14+3","1","0+0","0","1+0","0","2+0","1"
"13","gk","england","steve banks","0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"14","df","scotland","barry douglas","14","1","5+5","1","0+1","0","2+0","0","1+0","0"
"15","fw","scotland","johnny russell","43","14","33+4","9","3+0","4","0+1","1","2+0","0"
"16","mf","scotland","stuart armstrong","28","1","12+11","1","2+1","0","1+1","0","0+0","0"
"17","mf","scotland","gary mackay-steven","36","5","24+7","4","3+0","1","0+1","0","0+1","0"
"18","df","republic of ireland","gavin gunning","35","2","29+2","1","2+0","1","2+0","0","0+0","0"
"19","fw","finland","lauri dalla valle","15","3","6+6","3","1+0","0","2+0","0","0+0","0"
"20","mf","scotland","scott allan","9","0","4+4","0","0+0","0","0+0","0","0+1","0"
"20","fw","czech republic","milos lacny","6","1","0+4","1","0+2","0","0+0","0","0+0","0"
"21","gk","slovakia","filip mentel","0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"22","fw","scotland","ryan dow","11","1","3+7","0","0+0","0","1+0","1","0+0","0"
"23","fw","scotland","dale hilson","0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"24","df","scotland","ross smith","0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"25","gk","scotland","marc mccallum","0","0","0+0","0","0+0","0","0+0","0","0+0","0"
"26","mf","england","keanu marsh-brown","1","0","1+0","0","0+0","0","0+0","0","0+0","0"
"26","df","scotland","robbie neilson","23","0","21+0","0","2+0","0","0+0","0","0+0","0"
"46","mf","scotland","ryan gauld","1","0","0+1","0","0+0","0","0+0","0","0+0","0"
