"province or territory","transition home","transition home","second stage housing","second stage housing","emergency shelter","emergency shelter","women's emergency centre","women's emergency centre","other","other","total","total"
"province or territory","number","percent of admissions","number","percent of admissions","number","percent of admissions","number","percent of admissions","number","percent of admissions","number","percent of admissions"
"newfoundland and labrador","544","68","31","4","119","15","57","7","44","6","795","100"
"prince edward island","0","..","21","24","66","76","0","..","0","..","87","100"
"nova scotia","641","57","30","3","389","34","0","..","72","6","1,132","100"
"new brunswick","722","61","43","4","285","24","96","8","29","2","1,175","100"
"quebec","13,110","85","180","1","126","1","528","3","1,467","10","15,411","100"
"ontario","3,770","24","703","4","6,405","41","3,927","25","852","5","15,657","100"
"manitoba","119","4","88","3","1,498","53","1,032","36","104","4","2,841","100"
"saskatchewan","688","21","138","4","1,516","47","306","10","563","18","3,211","100"
"alberta","771","12","295","5","2,520","39","2,828","43","100","2","6,514","100"
"british columbia","8,910","74","191","2","2,112","18","451","4","332","3","11,996","100"
"yukon","365","95","19","5","0","..","0","..","0","..","384","100"
"northwest territories","233","27","0","..","0","..","588","68","42","5","863","100"
"nunavut","157","57","0","..","84","31","34","12","0","..","275","100"
"canada","30,030","50","1,739","3","15,120","25","9,847","16","3,605","6","60,341","100"
