"","percentage"
"q1. food didn't last / no money to buy more",""
"often true","15.9"
"sometimes true","42.6"
"never true","41.5"
"q2. balanced meals unaffordable",""
"often true","13.1"
"sometimes true","37.2"
"never true","49.7"
"q3. meals skipped / cut meal size because there wasn't enough money to buy food",""
"yes","30.5"
"no","69.5"
"q3a. frequency of meals skipped / cut meal size",""
"almost every month","40.5"
"some months but not every month","42.1"
"only 1 or 2 months","17.4"
"q4. ate less than you felt you should because there wasn't enough money to buy food",""
"yes","32.2"
"no","67.7"
"q5. hungry but could not afford food",""
"yes","26.8"
"no","73.2"
