"seat","-","-","-","-","-"
"seat","name","nationality","college","height","weight"
"bow","george mckirdy","british","st edmund hall","190 cm","76.8 kg"
"2","james white","british","christ church","187 cm","87.0 kg"
"3","morgan gerlak","american","keble","185 cm","85.8 kg"
"4","joshua bugajski","british","keble","194 cm","96.4 kg"
"5","leo carrington","british / new zealander","kellogg","189 cm","87.0 kg"
"6","jørgen tveit","british","st john's","194 cm","82.4 kg"
"7","jamie cook","british","st cross","188 cm","84.0 kg"
"stroke","nik hazell","british","christ church","199 cm","94.8 kg"
"cox","sam collier","british","new college","170 cm","56.2 kg"
"sources: (p) - boat club president","sources: (p) - boat club president","sources: (p) - boat club president","sources: (p) - boat club president","sources: (p) - boat club president","sources: (p) - boat club president"
