"","all","high school or less","college, trade or other postsecondary","university degree"
"","percent","percent","percent","percent"
"canada","","","",""
"aged 25 to 54","","","",""
"1997","76.2","66.6","81.0","86.3"
"2000","77.9","68.9","81.9","86.2"
"2007","81.5","72.3","84.9","86.3"
"2015","81.3","68.0","84.4","86.6"
"aged 25 to 44","","","",""
"1997","77.8","68.2","82.0","86.6"
"2000","79.4","70.8","82.5","86.0"
"2007","82.0","72.3","85.1","85.4"
"2015","80.9","65.2","84.0","86.0"
"aged 45 to 54","","","",""
"1997","72.3","63.5","78.0","85.3"
"2000","74.8","65.6","80.1","86.5"
"2007","80.8","72.3","84.7","88.5"
"2015","82.0","71.8","85.0","88.3"
"united states","","","",""
"aged 25 to 54","","","",""
"1997","76.7","69.7","80.6","84.6"
"2000","76.8","70.1","80.4","83.0"
"2007","75.5","67.0","79.2","82.3"
"2015","73.9","62.3","76.1","82.4"
"aged 25 to 44","","","",""
"1997","77.0","70.3","80.5","84.1"
"2000","76.9","70.7","80.3","82.3"
"2007","75.1","66.4","78.9","81.3"
"2015","74.0","61.5","76.4","82.2"
"aged 45 to 54","","","",""
"1997","76.1","68.2","81.0","85.9"
"2000","76.6","68.9","80.6","84.6"
"2007","76.2","68.0","79.8","84.2"
"2015","73.7","63.6","75.6","83.0"
