"","canada","canada","united states","united states"
"","1997","2015","1997","2015"
"","percent","percent","percent","percent"
"aged 25 to 54","","","",""
"high school or less","39.7","23.5","45.1","33.4"
"college, trade or other postsecondary","42.0","41.4","28.5","28.8"
"university degree","18.3","35.1","26.4","37.8"
"aged 25 to 44","","","",""
"high school or less","36.7","20.5","43.8","31.5"
"college, trade or other postsecondary","43.8","40.5","29.3","28.9"
"university degree","19.5","39.0","26.9","39.7"
"aged 45 to 54","","","",""
"high school or less","47.0","29.2","48.0","37.2"
"college, trade or other postsecondary","37.6","43.0","26.7","28.6"
"university degree","15.5","27.8","25.3","34.2"
