"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","1969-70","fourth division","1","1","0","0","0","0","1","1"
"port vale","1970-71","third division","38","6","1","0","1","0","40","6"
"port vale","1971-72","third division","36","7","4","2","1","0","41","9"
"port vale","1972-73","third division","39","11","3","0","2","0","44","11"
"port vale","total","total","114","25","8","2","4","0","126","27"
"aston villa","1973-74","second division","25","5","4","4","1","0","30","9"
"aston villa","1974-75","second division","12","4","0","0","4","2","16","6"
"aston villa","1975-76","first division","3","0","0","0","2","0","5","0"
"aston villa","total","total","40","9","4","4","7","2","51","15"
"brighton & hove albion","1975-76","third division","18","7","0","0","0","0","18","7"
"brighton & hove albion","1976-77","third division","17","1","2","0","0","0","19","1"
"brighton & hove albion","total","total","35","8","2","0","0","0","37","8"
"cambridge united","1977-78","third division","37","4","2","0","1","0","40","4"
"cambridge united","1978-79","second division","0","0","0","0","2","1","2","1"
"cambridge united","total","total","37","4","2","0","3","1","42","5"
"sparta rotterdam","1978-79","eredivisie","23","5","none","none","none","none","none","none"
"fc groningen","1979-80","eerste divisie","17","2","none","none","none","none","none","none"
"career total","career total","career total","266","53","16","6","14","3","296","62"
