"institution","all federal obligations","hhs","dod","nsf","nasa","doe","other agenciesa"
"all institutions","7214464","4611450.5","915480.2","326097","198814.4","68511","1094111"
"top 10 nonprofit institutions","3096676","1823131","272810","96905","3693","14523","885614"
"patient-centered outcomes research institute","883941.2","0","0","0","0","0","883941"
"massachusetts general hospital","394497.1","375972.8","17208.8","1079.3","236.2","0","0"
"brigham and women's hospital","371925","369847.6","691.5","0","1385.9","0","0"
"mayo clinic","300890.2","299930.3","853.2","106.6","0","0","0"
"fred hutchinson cancer research center","280403.8","278425","1422.6","556","0","0","0"
"battelle memorial institute","279123","16391.2","174860.8","72260.5","33","14522.7","1055"
"sri international","162329.4","60448.7","77773","21451.9","2037.6","0","618"
"children's hospital boston","150148.9","149178.5","0","970.4","0","0","0"
"dana-farber cancer institute","139922","139761.4","0","161","0","0","0"
"memorial sloan kettering cancer center","133494.9","133176","0","319","0","0","0"
"all other nonprofit institutions","4117789","2788320","642671","229192","195122","53988","208497"
