"","people with no other friends or acquaintances","people with no other friends or acquaintances","people with no other friends or acquaintances","people with more than 10 other friends or acquaintances","people with more than 10 other friends or acquaintances","people with more than 10 other friends or acquaintances"
"","2003","2008","2013","2003","2008","2013"
"","percentage","percentage","percentage","percentage","percentage","percentage"
"total","6","6","7","56","61","60"
"men","5","6","7","61","64","62"
"women","6","7","7","52","58","58"
"age group","","","","","",""
"15 to 24 years","2","2","3","68","76","75"
"25 to 34 years","3","4","3","58","66","70"
"35 to 44 years","5","6","6","56","61","62"
"45 to 54 years","6","7","8","54","58","57"
"55 to 64 years","7","8","10","52","57","51"
"65 to 74 years","9","11","11","53","51","50"
"75 years and older","19","15","17","42","44","43"
"province","","","","","",""
"newfoundland and labrador","2","3","4","66","74","72"
"prince edward island","3","3","5","62","70","70"
"nova scotia","3","4","5","66","71","70"
"new brunswick","3","5","5","62","65","65"
"quebec","8","10","11","41","46","47"
"ontario","6","5","7","60","65","63"
"manitoba","5","5","5","62","65","67"
"saskatchewan","5","4","4","65","69","67"
"alberta","5","5","6","63","66","66"
"british columbia","4","6","6","60","67","63"
