"field","started in fy 2008 or fy 2009","started in fy 2010 or fy 2011","started in fy 2012 or fy 2013","started in fy 2014 or fy 2015","started in fy 2016 or fy 2017","planned to start in fy 2018 or fy 2019"
"all research space","9.9","8.1","6.6","5.1","7","9.4"
"agricultural sciences","0.4","0.4","0.4","0.4","0.2","0.8"
"biological and biomedical sciences","3.5","2","2","1.5","2","1.7"
"computer and information sciences","0.3","0.1","0.2","0.1","0.3","0.2"
"engineering","2.1","1.3","1.4","0.9","1.5","2.8"
"geosciences, atmospheric sciences, and ocean sciences","0.1","0.3","0.2","0.2","0.2","0.2"
"health sciences","1.9","2.8","1.6","1","1.4","1.8"
"mathematics and statistics","","","","","","0.1"
"natural resources and conservation","na","na","na","","0.1","0.1"
"physical sciences","0.9","0.6","0.6","0.7","0.6","0.8"
"psychology","0.3","0.1","","0.1","0.1",""
"social sciences","0.2","0.1","0.1","","0.2",""
"other fields of s&e","0.3","0.3","0.1","0.2","0.3","0.8"
