"jurisdiction","total custody","total custody","total community supervision","total community supervision","total correctional services","total correctional services"
"jurisdiction","number","percent change from 2016/2017","number","percent change from 2016/2017","number","percent change from 2016/2017"
"newfoundland and labrador","65","-20","192","22","257","8"
"prince edward island","24","-35","110","-22","134","-25"
"new brunswick","212","8","261","-8","473","-2"
"ontario","2,741","-17","2,797","-11","5,538","-14"
"manitoba","2,058","-19","1,542","-14","3,600","-17"
"saskatchewan","1,413","-18","2,136","-11","3,549","-14"
"british columbia","778","-11","2,192","1","2,970","-3"
"northwest territories","57","50","47","15","104","32"
"nunavut","13","-67","26","-35","39","-51"
"total-all jurisdictions","7,361","-16","9,303","-9","16,664","-12"
