"season","team","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving"
"season","team","gp","gs","att","yds","avg","lng","td","rec","yds","avg","lng","td"
"2006","pittsburgh steelers","9","0","2","18","9","16","0","1","15","15","15","0"
"2007","green bay packers","16","1","0","0","0","0","0","2","7","3.5","5","0"
"2008","green bay packers","16","3","8","10","1.3","3","1","4","21","5.3","13","2"
"2009","green bay packers","14","6","8","18","2.3","5","1","7","47","6.7","14","2"
"2010","green bay packers","16","2","84","281","3.3","18","4","15","97","6.5","12","2"
"2011","green bay packers","16","3","30","78","2.6","12","4","15","77","5.1","11","2"
"2012","green bay packers","14","3","23","63","2.7","9","1","15","148","9.9","32","0"
"2013","green bay packers","15","6","10","38","3.8","12","1","13","81","6.2","20","0"
"2014","green bay packers","16","2","24","85","3.5","11","1","4","23","5.8","9","0"
"2015","green bay packers","16","6","9","28","3.1","5","2","6","56","9.3","19","0"
"2016","new orleans saints","15","3","18","37","2.1","4","4","16","70","4.4","11","1"
"2017","new orleans saints","2","1","1","2","2.0","2","0","0","0","0.0","0","0"
"total","total","165","36","217","658","3.0","18","19","98","642","6.3","32","9"
