"province or territory","revised estimate of the average growth in real gross domestic product","previously published estimate of the average growth in real gross domestic product","average absolute revision to real gross domestic product"
"province or territory","percent","percent","percent"
"newfoundland and labrador","2.59","2.64","0.32"
"prince edward island","2.47","2.50","0.56"
"nova scotia","1.95","1.95","0.25"
"new brunswick","2.03","2.01","0.23"
"quebec","1.93","1.95","0.19"
"ontario","2.59","2.62","0.15"
"manitoba","2.11","2.10","0.17"
"saskatchewan","2.18","2.28","0.30"
"alberta","3.13","3.14","0.36"
"british columbia","2.47","2.48","0.17"
"yukon","3.75","3.69","0.64"
"northwest territories","2.51","2.58","0.54"
"nunavut","4.92","4.68","1.47"
