"name","ireland ifa xi","ireland ifa xi","ireland ifa xi","republic of ireland fai xi","republic of ireland fai xi","republic of ireland fai xi"
"name","years","apps","goals","years","apps","goals"
"dinny hannon","1908-1913","6","1","1924","2","0"
"bill lacey","1909-1924","23","3","1927-1930","3","1"
"patsy gallacher","1919-1927","11","0","1931","1","0"
"ed brookes","1920","1","0","1924","1","3"
"mick o'brien","1921-1927","10","0","1927-1932","4","0"
"frank collins","1922","1","0","1924-1927","2","0"
"tom farquharson","1923-1925","7","0","1929-1931","4","0"
"christy martin","1925","1","0","1927","1","0"
"jimmy dunne","1928-1932","7","4","1930-1939","15","13"
"harry duggan","1929-1935","8","0","1927-1937","5","1"
"peter kavanagh","1929","1","0","1931","2","0"
"jimmy kelly","1931-1936","11","4","1932-1936","5","2"
"alex stevenson","1933-1947","19","5","1932-1948","7","0"
"paddy moore","1932","1","0","1931-1936","9","7"
"tommy breen","1935-1946","13","0","1937-1947","5","0"
"tom davis","1936","1","1","1936-1938","4","4"
"kevin o'flanagan","1946","2","0","1937-1947","10","3"
"johnny carey","1946-1949","9","0","1937-1952","27","3"
"owen madden","1937","1","0","1936","1","1"
"bill hayes","1937-1938","4","0","1946-1947","2","0"
"bill gorman","1946-1948","4","0","1936-1947","13","0"
"paddy farrell","1938","1","0","1937","2","0"
"matt o'mahoney","1938","1","0","1938-1939","6","0"
"ned weir","1939","1","0","1939","3","0"
"billy walsh","1944-1948","6","0","1946-1950","9","0"
"davy walsh","1946-1950","11","7","1946-1953","20","5"
"tom aherne","1946-1950","6","0","1946-1953","16","0"
"peter farrell","1946-1950","7","0","1946-1953","28","3"
"tommy eglington","1946-1948","6","0","1946-1953","24","2"
"con martin","1946-1950","6","0","1946-1956","30","6"
"jackie o'driscoll","1948-1949","3","0","1948-1949","3","0"
"rory keane","1948","1","0","1948-1949","4","0"
"reg ryan","1950","1","0","1946-1953","16","3"
