"","average employment rate","average employment rate","average employment rate","average unemployment rate","average unemployment rate","average unemployment rate"
"","1999/2000","2009/2010","change","1999/2000","2009/2010","change"
"","percent","percent","percentage points","percent","percent","percentage points"
"newfoundland and labrador","60.8","68.0","7.3","16.6","14.1","-2.5"
"prince edward island","74.0","76.8","2.8","13.1","11.2","-2.0"
"nova scotia","72.7","76.2","3.5","9.1","9.2","0.1"
"new brunswick","71.2","76.3","5.1","9.9","8.5","-1.4"
"city of quebec","76.4","84.3","7.9","8.0","4.6","-3.4"
"montreal","75.5","77.1","1.6","8.0","8.4","0.3"
"rest of quebec","71.6","77.9","6.3","9.9","7.9","-2.0"
"ottawa","79.1","81.7","2.7","5.7","5.8","0.1"
"toronto","78.7","75.4","-3.3","5.5","9.2","3.7"
"hamilton","79.6","77.4","-2.1","4.6","7.5","2.9"
"rest of ontario","79.1","76.2","-2.9","6.0","8.8","2.8"
"winnipeg","82.0","82.8","0.9","5.2","5.2","0.0"
"rest of manitoba","82.2","81.2","-1.0","4.7","4.8","0.1"
"saskatchewan","80.0","82.7","2.6","5.7","4.9","-0.7"
"calgary","83.8","81.1","-2.6","4.5","6.5","2.0"
"edmonton","80.7","79.6","-1.2","5.3","6.6","1.2"
"rest of alberta","81.6","80.8","-0.8","5.1","6.2","1.0"
"vancouver","75.7","76.0","0.3","6.6","7.3","0.8"
"rest of british columbia","75.7","77.0","1.3","8.6","7.9","-0.7"
