"province and territory","total crime severity index","total crime severity index","total crime severity index","violent crime severity index","violent crime severity index","non-violent crime severity index","non-violent crime severity index"
"province and territory","index","percent change 2015 to 2016","percent change 2006 to 2016","index","percent change 2015 to 2016","index","percent change 2015 to 2016"
"newfoundland and labrador","69.3","6","-5","72.6","8","68.0","4"
"prince edward island","48.5","-3","-32","35.1","-16","53.3","1"
"nova scotia","61.2","-3","-39","68.3","-3","58.5","-2"
"new brunswick","61.7","-2","-17","63.2","5","61.0","-4"
"quebec","54.7","-3","-40","64.7","-2","51.0","-3"
"ontario","52.7","4","-33","63.6","7","48.6","3"
"manitoba","114.4","8","-27","152.7","10","100.3","7"
"saskatchewan","148.8","9","-13","146.1","7","149.5","9"
"alberta","102.5","-1","-11","89.9","-8","106.9","1"
"british columbia","93.6","-1","-33","74.9","-10","100.3","2"
"yukon","183.9","0","2","229.1","9","167.0","-4"
"northwest territories","291.7","-9","-8","332.1","-9","276.4","-9"
"nunavut","286.4","4","2","407.7","5","241.6","4"
"canada","71.0","1","-29","75.3","0","69.3","2"
