"no","pos","nat","player","total","total","campeonato brasileiro serie a","campeonato brasileiro serie a","copa do brasil","copa do brasil","copa libertadores","copa libertadores","primeira liga / campeonato gaucho","primeira liga / campeonato gaucho"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers"
"1","gk","brazil","marcelo grohe","21","0","2","0","1","0","6","0","12","0"
"20","gk","brazil","leo jardim","3","0","0+1","0","0","0","0","0","2","0"
"30","gk","brazil","bruno grassi","4","0","0","0","0","0","0","0","4","0"
"40","gk","brazil","dida","0","0","0","0","0","0","0","0","0","0"
"defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders"
"2","df","brazil","edilson","7","1","0","0","0","0","2","0","5","1"
"3","df","brazil","pedro geromel","16","1","2","0","1","0","3","1","10","0"
"4","df","argentina","walter kannemann","21","0","2","0","1","0","5","0","13","0"
"6","df","brazil","leonardo gomes","5","0","0","0","0","0","0+1","0","4","0"
"12","df","brazil","bruno cortez","9","0","1+1","0","1","0","2","0","3+1","0"
"15","df","brazil","rafael thyere","12","0","0+1","0","0","0","3","0","7+1","0"
"22","df","brazil","bressan","4","0","0","0","0","0","1","0","3","0"
"26","df","brazil","marcelo oliveira","19","0","1","0","0","0","4","0","14","0"
"33","df","brazil","bruno rodrigo","1","0","0","0","0","0","0","0","1","0"
"88","df","brazil","leo moura","21","3","2","0","1","0","5","1","13","2"
"-","df","brazil","gabriel blos","0","0","0","0","0","0","0","0","0","0"
"midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders"
"5","mf","brazil","michel","18","1","2","0","1","0","4+1","0","9+1","1"
"8","mf","brazil","maicon","8","0","0","0","0","0","1","0","7","0"
"10","mf","argentina","gaston fernandez","9","0","0+1","0","0","0","1","0","2+5","0"
"17","mf","brazil","ramiro","21","6","2","2","1","0","4","0","14","4"
"25","mf","brazil","jailson","18","0","0+2","0","0+1","0","4","0","11","0"
"27","mf","brazil","lincoln","12","0","0","0","0","0","1+1","0","1+9","0"
"28","mf","brazil","kaio mendes","2","0","0","0","0","0","0+1","0","1","0"
"29","mf","brazil","arthur melo","13","1","2","0","1","1","2+2","0","2+4","0"
"35","mf","brazil","machado","1","0","0","0","0","0","0","0","1","0"
"-","mf","brazil","douglas","2","0","0","0","0","0","0","0","2","0"
"forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards"
"7","fw","brazil","luan","20","9","2","1","1","0","5","5","12","3"
"9","fw","brazil","jael","2","0","0","0","0","0","0","0","0+2","0"
"11","fw","brazil","everton","18","1","0","0","0+1","0","0+5","0","7+5","1"
"18","fw","paraguay","lucas barrios","17","10","2","1","1","2","4+2","5","2+6","2"
"19","fw","peru","beto da silva","0","0","0","0","0","0","0","0","0","0"
"21","fw","brazil","fernandinho","17","2","0","0","0+1","0","1+4","0","5+6","2"
"23","fw","ecuador","miller bolanos","16","8","0","0","0","0","3","1","11+2","7"
"32","fw","brazil","pedro rocha","20","3","2","0","1","0","5+1","2","11","1"
"players who currently don't integrate the first team squad","players who currently don't integrate the first team squad","players who currently don't integrate the first team squad","players who currently don't integrate the first team squad","players who currently don't integrate the first team squad","players who currently don't integrate the first team squad","players who currently don't integrate the first team squad","players who currently don't integrate the first team squad","players who currently don't integrate the first team squad","players who currently don't integrate the first team squad","players who currently don't integrate the first team squad","players who currently don't integrate the first team squad","players who currently don't integrate the first team squad","players who currently don't integrate the first team squad"
"24","gk","brazil","vitor monteiro","0","0","0","0","0","0","0","0","0","0"
"13","df","brazil","wallace oliveira","2","0","0","0","0","0","0","0","1+1","0"
"34","df","brazil","iago silva","1","0","0","0","0","0","0","0","1","0"
"37","df","brazil","lucas rex","1","1","0","0","0","0","0","0","1","1"
"44","df","brazil","lucas lovat","0","0","0","0","0","0","0","0","0","0"
"49","df","brazil","guilherme truyts","0","0","0","0","0","0","0","0","0","0"
"51","df","brazil","ze augusto","1","0","0","0","0","0","0","0","1","0"
"14","mf","uruguay","maxi rodriguez","4","0","0","0","0","0","0","0","0+4","0"
"41","mf","brazil","anderson balbino","1","0","0","0","0","0","0","0","0+1","0"
"45","mf","brazil","lima","1","0","0","0","0","0","0","0","1","0"
"46","mf","brazil","jeferson negueba","1","0","0","0","0","0","0","0","1","0"
"47","mf","brazil","rondinelly","1","0","0","0","0","0","0","0","1","0"
"52","mf","brazil","jean pyerre","1","0","0","0","0","0","0","0","0+1","0"
"36","fw","south africa","tyroane sandows","3","0","0","0","0","0","0","0","1+2","0"
"42","fw","brazil","luan viana","0","0","0","0","0","0","0","0","0","0"
"43","fw","brazil","lucas coelho","1","0","0","0","0","0","0","0","1","0"
"48","fw","brazil","leo tilica","1","0","0","0","0","0","0","0","0+1","0"
"50","fw","brazil","vico duarte","0","0","0","0","0","0","0","0","0","0"
