"name","serbia and montenegro superliga","serbia and montenegro superliga","serbia and montenegro cup","serbia and montenegro cup","uefa cup","uefa cup","total","total"
"name","apps","goals","apps","goals","apps","goals","apps","goals"
"goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers","goalkeepers"
"serbia and montenegro vladimir stojkovic","21","0","0","0","6","0","27","0"
"serbia and montenegro ivan ranđelovic","9","0","5","0","3","0","17","0"
"serbia and montenegro zoran banovic","1","0","0","0","0","0","1","0"
"defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders","defenders"
"serbia and montenegro milan dudic","28","3","2","0","8","0","38","3"
"serbia and montenegro aleksandar lukovic","27","3","2","1","8","0","37","4"
"serbia and montenegro dusan basta","25","0","3","2","6","1","34","3"
"serbia and montenegro milan bisevac","20","0","2","0","6","0","28","0"
"serbia and montenegro nebojsa joksimovic","18","0","2","0","6","0","26","0"
"serbia and montenegro bojan miladinovic","6","0","5","0","2","0","13","0"
"ghana haminu draman","4","1","2","0","1","0","7","1"
"serbia and montenegro dusan anđelkovic","3","0","1","0","0","0","4","0"
"serbia and montenegro jagos vukovic","1","0","2","1","0","0","3","1"
"serbia and montenegro nenad tomovic","1","0","0","0","0","0","1","0"
"serbia and montenegro aleksandar radovic","0","0","1","0","0","0","1","0"
"bosnia and herzegovina boris savic","0","0","1","0","0","0","1","0"
"midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders","midfielders"
"serbia and montenegro bosko jankovic","26","12","2","0","7","1","35","13"
"serbia and montenegro nenad kovacevic","25","1","2","0","8","0","35","1"
"serbia and montenegro dejan milovanovic","23","2","5","2","3","0","31","4"
"serbia and montenegro vladimir mudrinic","20","0","2","0","7","0","29","0"
"serbia and montenegro marko perovic","18","3","2","0","4","0","24","3"
"serbia and montenegro dragan mladenovic","17","3","0","0","5","0","22","3"
"serbia and montenegro nikola trajkovic","13","2","3","0","3","0","19","2"
"serbia and montenegro radovan krivokapic","9","0","3","0","3","0","15","0"
"serbia and montenegro nenad milijas","10","4","2","0","0","0","12","4"
"forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards","forwards"
"serbia and montenegro milan purovic","24","11","3","3","7","3","34","17"
"serbia and montenegro nikola zigic","23","12","3","2","7","6","33","20"
"serbia and montenegro milanko raskovic","13","5","2","0","0","0","15","5"
"serbia and montenegro dusan đokic","9","8","2","0","0","0","11","8"
"japan takayuki suzuki","6","0","1","2","0","0","7","2"
"serbia and montenegro boban stojanovic","4","0","2","0","1","0","7","0"
"serbia and montenegro filip đorđevic","1","0","2","0","0","0","3","0"
"players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season","players sold or loaned out during the season"
"serbia and montenegro slavoljub đorđevic","1","0","0","0","1","0","2","0"
"serbia and montenegro marko pantelic","3","0","0","0","2","3","5","3"
"serbia and montenegro dragan mrđa","1","0","0","0","0","0","1","0"
"brazil fabio silva","0","0","2","0","0","0","2","0"
"serbia and montenegro ardian đokaj","8","2","3","1","3","1","14","4"
