"province and territory","total youth crime severity index","total youth crime severity index","total youth crime severity index","youth violent crime severity index","youth violent crime severity index","youth non-violent crime severity index","youth non-violent crime severity index"
"province and territory","index","percent change 2015 to 2016","percent change 2006 to 2016","index","percent change 2015 to 2016","index","percent change 2015 to 2016"
"newfoundland and labrador","59.3","-2","-43","47.9","-6","67.0","0"
"prince edward island","30.7","-12","-70","25.2","-18","34.5","-9"
"nova scotia","77.5","8","-41","84.4","25","72.3","-2"
"new brunswick","55.7","-3","-38","49.0","-5","60.1","-2"
"quebec","56.4","4","-11","75.0","16","43.0","-8"
"ontario","52.7","4","-46","69.1","14","40.9","-5"
"manitoba","113.1","-5","-38","127.5","0","102.3","-10"
"saskatchewan","170.2","-9","-36","160.0","-8","176.7","-10"
"alberta","57.0","-15","-48","61.1","-16","53.8","-13"
"british columbia","35.7","-9","-56","37.2","-8","34.5","-10"
"yukon","191.9","-28","-30","184.1","15","196.5","-42"
"northwest territories","266.8","-10","-48","149.0","-28","349.0","-3"
"nunavut","296.3","-10","-26","191.0","-17","369.5","-8"
"canada","60.1","-2","-40","70.9","5","52.2","-8"
