"religion","brighton and hove","brighton and hove","east sussex local authority area","east sussex local authority area","east sussex ceremonial county","east sussex ceremonial county","west sussex","west sussex","sussex","sussex","england","england","united kingdom","united kingdom"
"religion","number","%","number","%","number","%","number","%","number","%","number","%","number","%"
"christianity","117,276","42.9","315,659","59.9","432,935","0","498,367","61.8","931,302","57.8","31,479,376","59.4","37,583,962","59.5"
"islam","6,095","2.2","4,201","0.8","10,296","0","12,668","1.6","22,964","1.4","2,660,116","5.0","2,786,635","4.4"
"hinduism","1,792","0.7","1,501","0.3","3,293","0","7,368","0.9","10,661","0.7","806,199","1.5","835,394","1.3"
"sikhism","342","0.1","178","0.0","520","0.1","1,137","0.1","1,657","0.1","420,196","0.8","432,429","0.7"
"judaism","2,670","1.0","1,074","0.2","3,744","0.5","1,434","0.2","5,178","0.3","261,282","0.5","269,568","0.4"
"buddhism","2,742","1.0","2,190","0.4","4,932","0.6","3,057","0.4","7,989","0.5","238,626","0.5","261,584","0.4"
"other religion","2,409","0.9","3,508","0.7","5,917","0.7","4,121","0.5","10,038","0.6","227,825","0.4","262,774","0.4"
"total non-christian religion","16,050","5.9","12,652","2.4","28,702","3.6","29,785","3.7","58,487","3.6","4,614,244","8.7","4,848,384","7.7"
"no religion","115,954","42.4","155,723","29.6","271,677","34.0","216,844","26.9","488,521","30.5","13,114,232","24.7","16,221,509","25.7"
"religion not stated","24,089","8.8","42,637","8.1","66,726","8.3","61,896","7.7","128,622","8.0","3,804,104","7.2","4,528,323","7.2"
"no religion and religion not stated","140,043","51.2","198,360","37.6","338,403","42.3","278,740","34.5","617,143","38.3","16,948,836","32.0","20,749,832","32.8"
"total population","273,400","100.0","527,200","100.0","800,200","100.0","808,900","100.0","1,609,100","100.0","53,012,456","100.0","63,182,178","100.0"
