"sub-component","sub-component basket weight at link month","imputation donor"
"household operations, furnishings and equipment","",""
"child care services","0.15","all-items"
"housekeeping services","0.31","all-items"
"transportation","",""
"air transportation","0.35","affected sub-components imputed from parent, air transportation"
"health and personal care","",""
"personal care services","0.93","all-items"
"recreation","",""
"recreational services","0.13","all-items"
"travel tours","1.21","all-items"
"spectator entertainment","0.35","all-items"
"use of recreational facilities and services","0.62","all-items"
"alcoholic beverages, tobacco products and recreational cannabis","",""
"beer served in licensed establishments","0.34","beer purchased from stores"
"wine served in licensed establishments","0.13","wine purchased from stores"
"liquor served in licensed establishments","0.19","liquor purchased from stores"
