"characteristics","both sexes","both sexes","both sexes","men","men","men","women","women","women"
"characteristics","mean","95% confidence interval","95% confidence interval","mean","95% confidence interval","95% confidence interval","mean","95% confidence interval","95% confidence interval"
"characteristics","mean","from","to","mean","from","to","mean","from","to"
"age","45.3","45.0","45.5","44.9","44.6","45.2","45.6","45.3","46.0"
"annual household income","83,275","79,306","87,245","90,762","85,546","95,979","75,840","71,767","79,913"
"education","","","","","","","","",""
"less than secondary school graduation","11.8","10.2","13.5","13.0","10.9","15.5","10.6","9.0","12.4"
"secondary school graduation","20.1","18.3","21.9","20.0","17.9","22.4","20.1","18.0","22.4"
"postsecondary degree/diploma","68.2","65.5","70.7","67.0","63.8","70.0","69.3","66.0","72.5"
"24-hour movement variables","","","","","","","","",""
"moderate-to-vigorous physical activity","23.6","22.2","24.9","26.5","24.6","28.3","20.6","19.1","22.2"
"light physical activity","226.7","221.8","231.7","233.7","226.9","240.5","219.8","215.1","224.4"
"sedentary time","503.0","497.3","508.6","498.1","491.5","504.7","507.8","501.2","514.4"
"sleep time","7.1","7.1","7.2","7.1","7.0","7.1","7.2","7.1","7.2"
"obesity variables","","","","","","","","",""
"body mass index","27.3","27.0","27.6","27.6","27.3","27.9","26.9","26.5","27.3"
"waist circumference","36.7","36.4","37.0","38.2","37.8","38.5","35.2","34.8","35.6"
"self-rated general health","","","","","","","","",""
"excellent","14.4","13.2","15.7","15.0","13.4","16.8","13.8","12.1","15.7"
"very good","38.9","37.1","40.7","38.7","36.6","40.9","39.0","36.4","41.7"
"good","36.7","34.6","38.7","36.6","33.9","39.4","36.7","34.3","39.2"
"poor/fair","10.1","9.1","11.1","9.6","8.5","10.9","10.5","9.1","12.0"
"self-rated mental health","","","","","","","","",""
"excellent","33.6","31.8","35.4","35.4","32.7","38.1","31.8","29.6","34.0"
"very good","38.9","37.1","40.7","38.8","36.4","41.2","38.9","36.5","41.4"
"good","21.6","20.2","23.0","20.5","18.5","22.7","22.6","20.5","24.8"
"poor/fair","6.0","5.0","7.2","5.3","4.2","6.7","6.7","5.2","8.6"
