"expenditures and gross domestic product","longer-term trends","longer-term trends","longer-term trends","most recent years","most recent years","most recent years","most recent years","most recent years","most recent years","most recent years","most recent years","most recent years"
"expenditures and gross domestic product","1990-2000","2000-08","2008-16","2008-09","2009-10","2010-11","2011-12","2012-13","2013-14","2014-15","2015-16a","2016-17b"
"current $","current $","current $","current $","current $","current $","current $","current $","current $","current $","current $","current $","current $"
"total r&d, all performers","5.8","5.3","3.1","-0.5","0.9","4.8","1.8","4.7","4.7","3.8","4.4","5.2"
"business","6.4","4.8","3.2","-2.9","-1.2","5.4","2.8","6.7","5.6","4.4","5.3","6"
"federal government","1.9","6.1","1.4","4.2","6.8","5.4","-2.6","-2","3.1","0.3","-3.2","0.4"
"federal intramurala","2.1","5.6","0.8","2.4","4.6","9.3","-2.7","-1.8","4.1","-1.7","-7.3","-1.7"
"ffrdcs","1.7","6.9","2.6","7.6","10.7","-1.4","-2.4","-2.5","1.3","4.2","4.2","3.8"
"nonfederal governmentb","na","na","3.6","na","14.1","0.4","-4.2","-6.8","-5.9","4.2","7","5.8"
"higher education","5.9","7.2","3.4","5.5","5.8","3.5","1.3","1.1","1.3","3.7","4.9","4.4"
"other nonprofit organizationsc","8.8","6.6","3.6","9.8","3.3","-1.5","-0.6","2.9","4.9","3.6","6.3","6.2"
"gross domestic product","5.6","4.6","3","-1.8","3.8","3.7","4.2","3.6","4.4","4","2.7","4.2"
"constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $","constant 2012 $"
"total r&d, all performers","3.7","2.8","1.6","-1.2","-0.3","2.7","-0.2","2.9","2.8","2.7","3.2","3.3"
"business","4.3","2.3","1.7","-3.6","-2.3","3.3","0.8","4.9","3.7","3.3","4.2","4"
"federal government","-0.1","3.6","0","3.4","5.6","3.2","-4.4","-3.7","1.2","-0.8","-4.3","-1.5"
"federal intramurala","0","3.2","-0.7","1.6","3.4","7.1","-4.5","-3.5","2.2","-2.7","-8.3","-3.6"
"ffrdcs","-0.4","4.4","1.1","6.8","9.4","-3.4","-4.2","-4.2","-0.6","3.1","3","1.8"
"nonfederal governmentb","na","na","2.1","na","12.8","-1.7","-6","-8.4","-7.6","3.1","5.9","3.8"
"higher education","3.7","4.7","1.9","4.7","4.6","1.3","-0.6","-0.7","-0.6","2.6","3.8","2.5"
"other nonprofit organizationsc","6.6","4.1","2.1","8.9","2.1","-3.5","-2.4","1.2","2.9","2.5","5.2","4.2"
"gross domestic product","3.4","2.2","1.6","-2.5","2.6","1.6","2.2","1.8","2.5","2.9","1.6","2.2"
