"types of activities","men","women"
"organizing events","43","48"
"fundraising","40","49"
"sitting on a committee or board","34","33"
"teaching or mentoring","29","28"
"counselling or providing advice","30","22"
"collecting, serving or delivering food or other goods","22","28"
"office work, bookkeeping","20","25"
"other activities","19","21"
"coaching, referring or officiating","24","11"
"driving","19","15"
"providing health care or support","15","19"
"environmental protection","17","15"
"maintenance or repair","23","10"
"canvassing","10","10"
"first-aid, fire-fighting, or search and rescue","7","4"
