"birth and maternal characteristics","in-scope population","in-scope population","linkage rate","birth-census cohort","birth-census cohort","birth-census cohort","birth-census cohort","ratio","ratio"
"birth and maternal characteristics","number","% distribution","%","number","% distribution","number","% distribution","ratio","ratio"
"total","687,340","100.0","90.3","135,426","100.0","687,340","100.0","1.00","1.00"
"type of birth","","","","","","","","",""
"surviving to age 1","679,431","98.8","90.5","134,002","98.9","679,399","98.8","1.00","1.00"
"stillbirth","4,240","0.6","76.3","808","0.6","4,242","0.6","0.97","1.00"
"infant death","2,984","0.4","79.8","616","0.5","3,699","0.5","1.05","1.01"
"infant death","685","0.1","0.0","0","0.0","0","0.0","..",".."
"province/territory of birth","","","","","","","","",""
"newfoundland and labrador","9,111","1.3","91.6","1,794","1.3","9,111","1.3","1.00","1.00"
"prince edward island","2,664","0.4","91.2","457","0.3","2,664","0.4","0.87","1.00"
"nova scotia","17,345","2.5","91.0","3,307","2.4","17,345","2.5","0.97","1.00"
"new brunswick","13,966","2.0","92.1","2,777","2.1","13,966","2.0","1.01","1.00"
"quebec","151,307","22.0","92.8","29,250","21.6","151,307","22.0","0.98","1.00"
"ontario","270,086","39.3","90.0","48,638","35.9","270,086","39.3","0.91","1.00"
"manitoba","29,247","4.3","90.3","8,584","6.3","29,247","4.3","1.49","1.00"
"saskatchewan","24,367","3.5","89.1","6,458","4.8","24,367","3.5","1.35","1.00"
"alberta","84,367","12.3","89.7","17,424","12.9","84,367","12.3","1.05","1.00"
"british columbia","81,970","11.9","86.9","15,026","11.1","81,970","11.9","0.93","1.00"
"yukon","685","0.1","91.1","266","0.2","685","0.1","1.97","1.00"
"northwest territories","1,452","0.2","87.3","825","0.6","1,452","0.2","2.88","1.00"
"nunavut","773","0.1","82.1","620","0.5","773","0.1","4.07","1.00"
"postal code at birth","","","","","","","","",""
"urban","563,406","82.0","90.4","101,496","74.9","562,915","81.9","0.91","1.00"
"rural","120,245","17.5","90.6","32,970","24.3","121,907","17.7","1.39","1.01"
"sex of child","","","","","","","","",""
"male","352,849","51.3","90.2","69,325","51.2","352,779","51.3","1.00","1.00"
"female","334,432","48.7","90.4","66,089","48.8","334,501","48.7","1.00","1.00"
"year of birth","","","","","","","","",""
"2004","214,647","31.2","89.8","42,222","31.2","214,647","31.2","1.00","1.00"
"2005","344,654","50.1","90.3","67,670","50.0","344,654","50.1","1.00","1.00"
"2006","128,039","18.6","91.0","25,534","18.9","128,039","18.6","1.01","1.00"
"maternal age group","","","","","","","","",""
"younger than 20","28,203","4.1","77.3","6,736","5.0","28,218","4.1","1.21","1.00"
"20 to 24","110,969","16.1","85.1","22,460","16.6","111,082","16.2","1.03","1.00"
"25 to 29","211,655","30.8","91.0","41,381","30.6","211,889","30.8","0.99","1.00"
"30 to 34","215,677","31.4","92.8","41,603","30.7","215,913","31.4","0.98","1.00"
"35 to 39","99,497","14.5","93.0","19,346","14.3","99,633","14.5","0.99","1.00"
"40 to 44","19,446","2.8","92.4","3,691","2.7","19,443","2.8","0.96","1.00"
"45 or older","859","0.1","91.4","165","0.1","870","0.1","0.97","1.01"
"maternal place of birth","","","","","","","","",""
"in canada","502,649","73.1","92.0","104,535","77.2","514,031","74.8","1.06","1.02"
"outside canada","172,551","25.1","86.3","29,048","21.4","163,489","23.8","0.85","0.95"
"single or multiple birth","","","","","","","","",""
"single","665,362","96.8","90.3","131,285","96.9","666,026","96.9","1.00","1.00"
"twin","20,452","3.0","91.3","4,007","3.0","20,472","3.0","0.99","1.00"
"triplet or more","841","0.1","91.0","134","0.1","842","0.1","0.81","1.00"
