"","male workers","female workers"
"","column 1","column 2"
"standard deviation of log earnings","0.575","0.499"
"number of person-year observations","39,572,671","20,738,690"
"summary of parameter estimates","",""
"number of person effects","5,558,251","3,243,861"
"number of firm effects","423,876","356,756"
"standard deviation of person effects","0.438","0.413"
"standard deviation of firm effects","0.192","0.167"
"standard deviation of predicted log earnings","0.229","0.220"
"correlation of person-firm effects","0.068","0.000"
"root-mean-square error of model","0.251","0.222"
"adjusted r-squared of model","0.810","0.803"
"correlation of estimated male-female firm effects","..","0.599"
"inequality decomposition of two-way fixed effects model","",""
"share of variance of log earnings attributable to","",""
"person effects","58.1","68.5"
"firm effects","11.1","11.3"
"covariance of person and firm effects","3.5","0.0"
"predicted log earnings and associated covariances","11.2","3.9"
"residual","16.2","16.4"
