"employment sector","1997","1997","1997","1997","1997","2017","2017","2017","2017","2017"
"employment sector","total employed","male","male","female","female","total employed","male","male","female","female"
"employment sector","total employed","number","%","number","%","total employed","number","%","number","%"
"all employment sectors","518450","399100","77","119350","23","815100","527850","64.8","287250","35.2"
"four-year educational institutiona","230000","172750","75.1","57250","24.9","319400","198750","62.2","120650","37.8"
"other educational institutionb","16850","9950","59.2","6850","40.8","29800","14400","48.3","15400","51.7"
"business or industry, for profitc","166650","141150","84.7","25500","15.3","296600","215900","72.8","80700","27.2"
"business or industry, self-employed, nonincorporatedd","25100","15900","63.4","9200","36.6","44650","24600","55.1","20000","44.9"
"business or industry, nonprofit","26350","17650","67","8700","33","55150","30500","55.4","24600","44.6"
"federal government","38050","30900","81.2","7150","18.8","51950","33600","64.6","18400","35.4"
"state or local government","15450","10800","69.8","4650","30.2","17550","10100","57.5","7450","42.5"
