"population and age group","population","population","population","victims","victims","victims","percent difference"
"population and age group","canada","young females (0 to 24) in the north","young females account for","canada","young females (0 to 24) in the north","young females account for","percent difference"
"population and age group","number","number","percent","number","number","percent","percent difference"
"total canadians","36,203,036","330,387","0.9","350,457","12,036","3","3"
"females","18,183,711","330,387","2","185,586","12,036","6","5"
"young canadians","10,337,135","330,387","3","124,742","12,036","10","6"
"young females","5,027,049","330,387","7","70,058","12,036","17","11"
"total canadians in the north","2,196,843","330,387","15","54,040","12,036","22","7"
"females in the north","1,079,625","330,387","31","30,922","12,036","39","8"
"young canadians in the north","682,855","330,387","48","19,404","12,036","62","14"
"young females in the north","330,387","330,387","100","12,036","12,036","100","0"
