"","member of a group, organization or association","member of a group, organization or association","member of a group, organization or association","union or professional association","union or professional association","union or professional association","political party or group","political party or group","political party or group"
"","2003","2008","2013","2003","2008","2013","2003","2008","2013"
"","percentage","percentage","percentage","percentage","percentage","percentage","percentage","percentage","percentage"
"total","61","65","65","25","29","28","5","6","4"
"men","63","67","66","28","32","28","6","7","5"
"women","59","63","65","22","27","27","4","5","4"
"age group","","","","","","","","",""
"15 to 24 years","64","68","69","16","17","17","4","4","3"
"25 to 34 years","60","64","65","29","33","33","3","4","3"
"35 to 44 years","64","67","69","32","38","37","3","5","3"
"45 to 54 years","64","67","65","34","40","36","6","6","4"
"55 to 64 years","62","66","64","26","33","30","7","8","5"
"65 to 74 years","55","59","62","11","15","16","6","9","7"
"75 years and older","45","52","59","6","7","9","6","8","7"
