"","aboriginal identity","aboriginal identity","aboriginal identity"
"","off-reserve first nations","metis","inuit"
"","predicted probability","predicted probability","predicted probability"
"feeding history","","",""
"only breastfed","0.02","0.03","0.13"
"both breastfed and bottle-fed","0.04","0.04","0.08"
"only bottle-fed","0.05","0.04","0.06"
"breastfeeding duration","","",""
"never breastfed","0.05","0.04","0.07"
"breastfed 0 to 6 months","0.04","0.04","0.10"
"breastfed more than 6 months","0.03","0.03","0.07"
