"year","team","games","games","rushing","rushing","rushing","rushing","rushing","receiving","receiving","receiving","receiving","receiving"
"year","team","gp","gs","att","yards","avg","lng","td","rec","yds","avg","lng","td"
"1994","ind","16","16","314","1,282","4.1","52","11","52","522","10.0","85t","1"
"1995","ind","16","16","289","1,078","3.7","40","11","56","475","8.5","34","3"
"1996","ind","13","13","198","587","3.0","43","7","56","428","7.6","30","0"
"1997","ind","16","16","264","1,054","4.0","45","7","47","471","10.0","58","1"
"1998","ind","16","15","324","1,319","4.1","68t","6","86","908","10.6","78t","4"
"1999","stl","16","16","253","1,381","5.5","58","7","87","1,048","12.0","57t","5"
"2000","stl","14","14","253","1,359","5.4","36","18","81","830","10.2","72t","8"
"2001","stl","14","14","260","1,382","5.3","71t","12","83","765","9.2","65t","9"
"2002","stl","14","10","212","953","4.5","44","8","80","537","6.7","40","2"
"2003","stl","11","11","209","818","3.9","52","10","45","290","6.4","30","1"
"2004","stl","14","14","195","774","4.0","40","3","50","310","6.2","25","1"
"2005","stl","16","1","65","292","4.5","20","0","44","291","6.6","18","1"
"career","career","176","156","2,836","12,279","4.3","71t","100","767","6,875","9.0","85t","36"
