"field","2016","2017","% change 2016-17"
"all r&d fields","71795275","75174941","4.7"
"science","56266661","58932076","4.7"
"computer and information sciences","2078154","2191762","5.5"
"geosciences, atmospheric sciences, and ocean sciences","3085624","3154446","2.2"
"atmospheric science and meteorology","626457","623871","-0.4"
"geological and earth sciences","1000064","1086382","8.6"
"ocean sciences and marine sciences","1097963","1101625","0.3"
"geosciences, atmospheric sciences, and ocean sciences, nec","361140","342568","-5.1"
"life sciences","40868307","43095195","5.4"
"agricultural sciences","3294989","3282797","-0.4"
"biological and biomedical sciences","13044385","13708543","5.1"
"health sciences","22374973","23983549","7.2"
"natural resources and conservation","690376","686729","-0.5"
"life sciences, nec","1463584","1433577","-2.1"
"mathematics and statistics","681562","701085","2.9"
"physical sciences","4888752","5049175","3.3"
"astronomy and astrophysics","622101","648744","4.3"
"chemistry","1774776","1792738","1"
"materials science","173314","227682","31.4"
"physics","2118434","2154152","1.7"
"physical sciences, nec","200127","225859","12.9"
"psychology","1219432","1242853","1.9"
"social sciences","2368285","2550173","7.7"
"anthropology","96638","111199","15.1"
"economics","399250","434743","8.9"
"political science and government","385305","404512","5"
"sociology, demography, and population studies","503931","551645","9.5"
"social sciences, nec","983161","1048074","6.6"
"sciences, nec","1076545","947387","-12"
"engineering","11381183","11897397","4.5"
"aerospace, aeronautical, and astronautical engineering","883194","994422","12.6"
"bioengineering and biomedical engineering","1084749","1220451","12.5"
"chemical engineering","885107","933776","5.5"
"civil engineering","1330778","1302098","-2.2"
"electrical, electronic, and communications engineering","2517183","2727498","8.4"
"industrial and manufacturing engineering","238780","344224","44.2"
"mechanical engineering","1435690","1531092","6.6"
"metallurgical and materials engineering","744333","736717","-1"
"engineering, nec","2261369","2107119","-6.8"
"non-s&e","4147431","4345468","4.8"
"business management and business administration","647858","731868","13"
"communication and communications technologies","167872","205561","22.5"
"education","1337779","1380221","3.2"
"humanities","445995","498700","11.8"
"law","184588","223829","21.3"
"social work","211920","236069","11.4"
"visual and performing arts","138608","130807","-5.6"
"non-s&e, nec","1012811","938413","-7.3"
