"","1999","2005","2012","2016"
"","2016 dollars","2016 dollars","2016 dollars","2016 dollars"
"median wealth","","","",""
"a) 1999 cohort of recent immigrant families","27,263","170,400","325,800","504,009"
"b) 1999 cohort of canadian-by-birth families","88,733","182,917","395,645","520,163"
"relative wealth differences","3.25","1.07","1.21","1.03"
"","percent","percent","percent","percent"
"percentage of families with a principal residence","","","",""
"1999 cohort of recent immigrant families","31.2","60.3","68.1","78.7"
"1999 cohort of canadian-by-birth families","56.4","72.1","73.5","74.0"
"percentage of families with rpp assets","","","",""
"1999 cohort of recent immigrant families","20.8","29.6","33.2","46.6"
"1999 cohort of canadian-by-birth families","45.7","52.2","57.9","61.2"
"","number of observations","number of observations","number of observations","number of observations"
"sample sizes","","","",""
"1999 cohort of recent immigrant families","390","119","206","255"
"1999 cohort of canadian-by-birth families","5,454","1,700","3,752","3,701"
