"club","season","league","league","fa cup","fa cup","other","other","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals"
"luton town","1929-30","5","1","0","0","0","0","5","1"
"torquay united","1930-31","42","11","4","0","0","0","46","11"
"torquay united","1931-32","42","10","1","0","0","0","43","10"
"torquay united","1932-33","34","15","4","2","0","0","38","17"
"torquay united","1933-34","32","7","0","0","3","1","35","8"
"torquay united","1934-35","32","18","2","0","0","0","34","18"
"torquay united","1935-36","28","10","1","0","0","0","29","10"
"torquay united","1936-37","33","6","1","0","1","1","35","7"
"torquay united","1937-38","36","1","0","0","0","0","36","1"
"torquay united","1938-39","38","2","2","0","2","0","42","2"
"torquay united","total","317","80","15","2","6","2","338","84"
"career total","career total","322","81","15","2","6","2","343","85"
