"selected industry, naics code, and company size","total","total","biotechnology","biotechnology","nanotechnology","nanotechnology","software","software"
"selected industry, naics code, and company size","companiesa","amount","companiesa","amount","companiesa","amount","companiesa","amount"
"all industries, 21-33, 42-81","26313","441036","2470","62862","957","16799","11034","165576"
"manufacturing industries, 31-33","15205","274075","1733","53272","772","14783","4004","40507"
"chemicals, 325","2713","84137","1058","47526","203","607","195","498"
"pharmaceuticals and medicines, 3254","1334","74592","915","46023","55","401","99","315"
"other 325","1379","9545","143","1503","148","206","96","183"
"machinery, 333","2072","14799","24","10","34","1028","827","1620"
"computer and electronic products, 334","2340","83697","208","2319","267","12545","1394","30187"
"transportation equipment, 336","1105","52629","8","35","7","33","234","4629"
"miscellaneous, 339","1251","17209","176","2147","66","308","329","2263"
"manufacturing nec, other 31-33","5724","21604","259","1235","195","262","1025","1310"
"nonmanufacturing industries, 21-23, 42-81","11116","166961","737","9590","185","2016","7030","125069"
"information, 51","2660","94349","23","77","11","1095","2383","86457"
"professional, scientific, and technical services, 54","6224","44860","646","8624","149","878","3968","16590"
"nonmanufacturing nec, other 21-23, 42-81","2232","27752","68","889","25","43","679","22022"
"all companies","26313","441036","2470","62862","957","16799","11034","165576"
"small companies","","","","","","","",""
"10-19b","4294","4390","582","987","182","138","2128","1496"
"20-49","7386","11252","699","2803","292","354","3316","3946"
"medium companies","","","","","","","",""
"50-99","4591","12321","311","3508","137","330","1850","3677"
"100-249","5004","18547","444","4155","132","463","1797","5690"
"large companies","","","","","","","",""
"250-499","2060","19645","170","5313","75","732","722","5982"
"500-999","1152","17657","74","3263","40","581","429","5730"
"1,000-4,999","1263","68578","100","9005","57","3517","523","27408"
"5,000-9,999","241","45337","32","8580","16","3787","114","13619"
"10,000-24,999","207","84420","43","21542","13","2020","98","27794"
"25,000 or more","114","158889","16","3706","12","4877","57","70233"
