"year","team","gp","gs","passing","passing","passing","passing","passing","passing","passing","passing","rushing","rushing","rushing","rushing","sacked","sacked","fumbles","fumbles"
"year","team","gp","gs","att","cmp","pct","yds","y/a","tds","ints","rtg","att","yds","avg","tds","sack","ydsl","fum","fuml"
"2000","nyj","1","0","5","2","40.0","67","13.4","1","0","127.1","1","0","0","0","1","4","0","0"
"2001","nyj","2","0","20","10","50.0","92","4.6","1","0","79.6","1","11","11.0","0","1","8","0","0"
"2002","nyj","15","12","399","275","68.9","3,120","7.8","22","6","104.2","29","49","1.7","2","22","135","2","1"
"2003","nyj","10","9","297","189","63.6","2,139","7.2","13","12","82.9","21","42","2.0","2","25","160","8","2"
"2004","nyj","13","13","370","242","65.4","2,673","7.2","16","9","91.0","34","126","3.7","1","18","103","5","2"
"2005","nyj","3","3","83","49","59.0","530","6.4","2","3","70.9","6","27","4.5","0","9","52","8","2"
"2006","nyj","16","16","485","313","64.5","3,652","6.9","17","16","82.6","35","109","3.1","0","30","172","7","4"
"2007","nyj","9","8","260","179","68.9","1,765","6.8","10","9","86.1","20","32","1.6","1","26","178","5","0"
"2008","mia","16","16","476","321","67.4","3,653","7.7","19","7","97.4","30","62","2.1","1","24","121","3","1"
"2009","mia","3","3","74","51","68.9","413","5.6","1","2","76.0","3","7","2.3","0","6","32","3","2"
"2010","mia","1","1","2","1","50.0","19","9.5","0","0","83.3","0","0","0","0","0","0","0","0"
"total","total","89","81","2,471","1,632","66.0","17,823","7.2","102","64","90.1","180","465","2.6","7","140","294","41","14"
