"outcome variable","province of school attendance","socio-economic","school resources and practices","peers","unobserved factors","total"
"outcome variable","proportion","proportion","proportion","proportion","proportion","proportion"
"reading score","0.293","0.271","-0.007","0.283","0.160","1.000"
"mathematics score","0.523","0.270","-0.084","0.324","-0.032","1.000"
"science score","0.255","0.286","0.130","0.170","0.159","1.000"
"high school graduation","0.722","0.527","-0.137","0.224","-0.337","1.000"
"postsecondary attendance","0.084","0.409","-0.238","0.290","0.456","1.000"
"university attendance","-0.009","0.547","0.123","0.364","-0.025","1.000"
"postsecondary graduation","0.320","0.203","-0.090","0.133","0.434","1.000"
"university graduation","-0.010","0.421","0.054","0.270","0.265","1.000"
"graduate or professional studies","0.165","0.248","0.056","0.177","0.354","1.000"
