"industry, naics code, and company size","domestic net sales (us$millions)a","r&d intensity (%)b","domestic employment (thousands)c","domestic employment (thousands)c"
"industry, naics code, and company size","domestic net sales (us$millions)a","r&d intensity (%)b","total","r&dd"
"all industries, 21-33, 42-81","9191871","4.1","19293","1522"
"manufacturing industries, 31-33","5396816","4.6","9879","912"
"chemicals, 325","1039760","7.1","1257","173"
"pharmaceuticals and medicines, 3254","579390","11.2","562","123"
"other 325","460370","1.9","695","50"
"machinery, 333","296633","4.2","824","78"
"computer and electronic products, 334","786351","9.8","1336","264"
"electrical equipment, appliance, and components, 335","148671","3.2","306","28"
"transportation equipment, 336","1289540","4","1953","168"
"automobiles, bodies, trailers, and parts, 3361-63","886881","2.5","1088","92"
"aerospace products and parts, 3364","336565","7.9","643","61"
"other 336","66094","3.9","222","15"
"manufacturing nec, other 31-33","1835861","1.7","4203","201"
"nonmanufacturing industries, 21-23, 42-81","3795055","3.3","9414","610"
"information, 51","1064822","6.6","1832","277"
"software publishers, 5112","396108","8.5","630","142"
"other 51","668714","5.6","1202","135"
"finance and insurance, 52","713192","1","1114","37"
"professional, scientific, and technical services, 54","421882","8.9","1373","240"
"computer systems design and related services, 5415","175787","9","480","92"
"scientific r&d services, 5417","66620","22.3","264","79"
"other 54","179475","3.9","629","69"
"nonmanufacturing nec, other 21-23, 42-81","1595159","0.5","5095","56"
"size of company","","","",""
"micro companiese","","","",""
"5-9","6778","23.3","34","15"
"small companies","","","",""
"10-19","25795","19.2","111","37"
"20-49","100067","9.7","323","75"
"medium companies","","","",""
"50-99","113696","8.2","413","69"
"100-249","271388","5.5","764","101"
"large companies","","","",""
"250-499","276513","4.7","700","75"
"500-999","326260","4.4","739","74"
"1,000-4,999","1238059","5.2","2583","278"
"5,000-9,999","994329","4.1","1859","159"
"10,000-24,999","1677581","3.9","2898","243"
"25,000 or more","4161406","3.3","8869","395"
