"type of offence","total guilty cases","custody","custody","custody","probation","probation","probation","community service order","community service order"
"type of offence","number","number","percent","median length","number","percent","median length","number","percent"
"violent offences","6,482","1,054","16","80","4,302","66","365","1,292","20"
"homicide","21","17","81","1,090","4","19","730","1","5"
"attempted murder","9","7","78","710","3","33","360","0","0"
"robbery","1,040","359","35","120","737","71","365","235","23"
"sexual assault","457","63","14","180","320","70","540","42","9"
"other sexual offences","407","33","8","180","291","71","450","73","18"
"major assault","1,478","265","18","60","997","67","365","299","20"
"common assault","1,858","131","7","20","1,114","60","365","337","18"
"uttering threats","987","132","13","40","670","68","360","240","24"
"criminal harassment","80","9","11","24","58","73","365","21","26"
"other crimes against persons","145","38","26","150","108","74","365","44","30"
"property offences","6,469","743","11","45","4,141","64","360","1,757","27"
"theft","2,083","212","10","30","1,201","58","360","584","28"
"break and enter","1,890","266","14","90","1,387","73","365","497","26"
"fraud","255","35","14","50","156","61","365","75","29"
"mischief","1,067","78","7","30","612","57","365","261","24"
"possess stolen property","971","128","13","40","633","65","360","280","29"
"other property crimes","203","24","12","60","152","75","365","60","30"
"administration of justice offences","2,723","574","21","18","1,172","43","365","485","18"
"fail to appear","110","13","12","3","42","38","365","18","16"
"breach of probation","74","9","12","15","30","41","365","16","22"
"unlawfully at large","219","157","72","20","40","18","365","22","10"
"fail to comply with order","1,776","302","17","12","779","44","365","311","18"
"other administration of justice","544","93","17","20","281","52","365","118","22"
"other criminal code offences","1,317","202","15","60","836","63","360","333","25"
"weapons","856","156","18","54","511","60","365","129","15"
"prostitution","3","1","33","360","3","100","180","0","0"
"disturbing the peace","37","1","3","14","21","57","270","6","16"
"residual criminal code","421","44","10","120","301","71","360","198","47"
"criminal code","16,991","2,573","15","40","10,451","62","365","3,867","23"
"criminal code traffic offences","494","47","10","80","224","45","365","89","18"
"impaired driving","251","2","1","235","69","27","363","40","16"
"other criminal code traffic","243","45","19","80","155","64","365","49","20"
"total criminal code offences","17,485","2,620","15","42","10,675","61","365","3,956","23"
"other federal statute offences","5,039","741","15","20","2,317","46","270","1,645","33"
"drug possession","435","5","1","20","196","45","360","92","21"
"other drug offences","354","39","11","90","258","73","365","71","20"
"youth criminal justice act","3,086","657","21","16","1,161","38","270","900","29"
"residual federal statutes","1,164","40","3","80","702","60","180","582","50"
"total offences","22,524","3,361","15","39","12,992","58","360","5,601","25"
