"","model 1","model 2","model 3","model 4","model 5","model 6"
"","beta coefficients","beta coefficients","beta coefficients","beta coefficients","beta coefficients","beta coefficients"
"intercept","6.39","7.47","7.42","7.56","7.71","7.94"
"group","","","","","",""
"canadian community health survey","1.64","1.61","1.61","1.13","0.96","0.93"
"model includes","","","","","",""
"sex","..","yes","yes","yes","yes","yes"
"age","..","yes","yes","yes","yes","yes"
"highest education level","..","yes","yes","yes","yes","yes"
"marital status","..","yes","yes","yes","yes","yes"
"immigration status","..","yes","yes","yes","yes","yes"
"province of residence","..","yes","yes","yes","yes","yes"
"urban/rural place of residence","..","yes","yes","yes","yes","yes"
"main activity","..","..","yes","yes","yes","yes"
"household income","..","..","yes","yes","yes","yes"
"self-assessed general health","..","..","..","yes","yes","yes"
"self-assessed mental health","..","..","..","..","yes","yes"
"sense of belonging to local community","..","..","..","..","..","yes"
