"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","single","us","us ac","us country","can","can ac","can country","uk","ned","nz","album"
"1970","will you love me tomorrow","111","-","-","-","-","-","-","-","-","silk purse"
"1970","long, long time","25","20","-","15","-","-","-","-","-","silk purse"
"1970","he darked the sun","-","-","-","-","-","-","-","-","-","silk purse"
"1971","(she's a) very lovely woman","70","17","-","57","-","-","-","-","-","non-lp track"
"1971","i fall to pieces","-","-","-","-","-","-","-","-","-","linda ronstadt"
"1972","rock me on the water","85","-","-","-","-","-","-","-","-","linda ronstadt"
"1973","love has no pride","51","23","-","59","6","-","-","-","-","don't cry now"
"1974","silver threads and golden needles","67","-","20","90","-","20","-","-","-","don't cry now"
"1974","colorado","108","-","-","-","-","-","-","-","-","don't cry now"
"1974","i can't help it","-","-","2","-","-","6","-","-","-","heart like a wheel"
"1975","you're no good","1","10","-","7","2","-","-","17","24","heart like a wheel"
"1975","when will i be loved","2","3","1","7","1","1","-","-","-","heart like a wheel"
"1975","heat wave","5","19","-","12","12","-","-","-","-","prisoner in disguise"
"1975","love is a rose","63","-","5","100","-","46","-","-","-","prisoner in disguise"
"1975","the tracks of my tears","25","4","11","22","2","25","42","-","-","prisoner in disguise"
"1976","that'll be the day","11","16","27","2","14","17","-","-","-","hasten down the wind"
"1976","someone to lay down beside me","42","38","-","58","37","-","-","-","-","hasten down the wind"
"1977","lose again","76","43","-","-","42","-","-","-","-","hasten down the wind"
"1977","blue bayou","3","3","2","2","2","2","35","-","3","simple dreams"
"1977","it's so easy","5","37","81","9","-","-","-","13","11","simple dreams"
"1977","poor poor pitiful me","31","27","46","26","9","36","-","-","-","simple dreams"
"1977","lo siento mi vida","-","-","-","-","-","-","-","-","-","hasten down the wind"
"1978","i never will marry","-","30","8","-","39","16","-","-","-","simple dreams"
"1978","back in the u.s.a","16","30","41","8","-","43","-","-","24","living in the u.s.a"
"1978","ooh baby baby","7","2","85","6","26","-","-","-","-","living in the u.s.a"
"1979","just one look","44","5","-","46","4","-","-","-","-","living in the u.s.a"
"1979","alison","-","30","-","-","-","-","66","-","-","living in the u.s.a"
""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart",""-" denotes releases that did not chart"
