"","total","total","total","under-reporters","under-reporters","under-reporters","plausible reporters","plausible reporters","plausible reporters","over-reporters","over-reporters","over-reporters"
"","mean grams","95% confidence interval","95% confidence interval","mean grams","95% confidence interval","95% confidence interval","mean grams","95% confidence interval","95% confidence interval","mean grams","95% confidence interval","95% confidence interval"
"","mean grams","from","to","mean grams","from","to","mean grams","from","to","mean grams","from","to"
"all adults","","","","","","","","","","","",""
"food and beverages","","","","","","","","","","","",""
"2004","93","91","95","54","52","56","97","95","99","154","148","161"
"2015","85","83","87","55","53","57","95","93","97","146","136","156"
"food alone","","","","","","","","","","","",""
"2004","55","54","56","33","32","34","57","55","58","91","87","96"
"2015","58","56","59","39","37","40","64","62","66","96","89","104"
"beverages alone","","","","","","","","","","","",""
"2004","38","37","39","21","20","22","40","39","42","63","58","68"
"2015","27","26","28","16","15","18","31","29","33","49","43","55"
"males","","","","","","","","","","","",""
"food and beverages","","","","","","","","","","","",""
"2004","102","100","105","58","55","60","109","106","112","167","158","176"
"2015","94","92","97","60","57","62","106","103","110","159","143","176"
"food alone","","","","","","","","","","","",""
"2004","57","55","59","34","32","36","60","58","63","92","86","98"
"2015","62","60","63","40","38","43","69","66","71","102","88","115"
"beverages alone","","","","","","","","","","","",""
"2004","45","43","47","24","22","25","48","46","51","75","67","83"
"2015","33","31","35","19","17","21","38","35","41","58","49","67"
"females","","","","","","","","","","","",""
"food and beverages","","","","","","","","","","","",""
"2004","83","80","85","50","48","52","85","83","88","139","130","149"
"2015","75","73","77","50","48","53","83","80","86","131","121","141"
"food alone","","","","","","","","","","","",""
"2004","52","50","54","32","30","33","53","51","55","90","83","98"
"2015","53","52","55","36","34","38","59","57","61","91","84","97"
"beverages alone","","","","","","","","","","","",""
"2004","31","29","32","18","17","20","32","30","34","49","43","55"
"2015","21","20","23","14","12","15","24","22","25","40","32","48"
