"institution","all agencies","dod","doe","hhs","nasa","nsf","usda","other agenciesa"
"all hbcus","372978.3","19956.3","5824.2","114379.1","5258.2","94604.2","123857.6","9098.7"
"north carolina agricultural and technical state u","26085.7","2309.4","0","1625.8","0","11551.5","8665.5","1933.5"
"morehouse school of medicine","24542.8","0","0","24542.8","0","0","0","0"
"jackson state u","23346.6","2787.1","0","5549.8","0","14809.6","0","200"
"meharry medical c","18060.6","0","0","18060.6","0","0","0","0"
"howard u","17137","1281.4","0","11991.4","9","3605.1","0","250"
"florida a&m u","16704","970.7","303.3","5939.7","0","3052.5","5853.1","584.7"
"hampton u","15886.6","1716.9","719","5136.5","4193.5","3880.7","0","240"
"tuskegee u","14313.5","0","0","2490","0","3005.7","8817.7","0"
"tennessee state u","13123.5","329","0","1264.2","0","3677.9","7852.4","0"
"prairie view a&m u","12900","498.8","0","0","160","928.5","11115.7","197"
"all other hbcus","190877.9","10062.8","4801.9","37778.3","895.6","50092.6","81553.1","5512.5"
