"","revised average level","previously published average level","average revision"
"","millions of dollars","millions of dollars","millions of dollars"
"average 2013 to 2015","","",""
"household final consumption expenditure","1,078,106","1,074,629","3,477"
"government final consumption expenditure","405,650","407,940","-2,290"
"non-profit institutions serving households' final consumption expenditure","26,990","27,381","-391"
"business gross fixed capital formation","393,011","382,170","10,841"
"non-profit institutions serving households' gross fixed capital formation","2,842","2,996","-154"
"government gross fixed capital formation","74,149","76,548","-2,399"
"inventories","8,566","9,371","-805"
"exports","608,624","607,703","921"
"imports","641,618","639,091","2,527"
"gross domestic product at market prices","1,955,614","1,949,508","6,106"
"2013","","",""
"household final consumption expenditure","1,034,804","1,032,863","1,941"
"government final consumption expenditure","393,848","397,632","-3,784"
"non-profit institutions serving households' final consumption expenditure","26,429","26,535","-106"
"business gross fixed capital formation","383,839","376,938","6,901"
"non-profit institutions serving households' gross fixed capital formation","2,913","2,847","66"
"government gross fixed capital formation","73,349","73,060","289"
"inventories","13,705","13,533","172"
"exports","572,359","573,083","-724"
"imports","603,606","602,822","784"
"gross domestic product at market prices","1,897,531","1,892,193","5,338"
"2014","","",""
"household final consumption expenditure","1,083,548","1,079,409","4,139"
"government final consumption expenditure","405,373","406,340","-967"
"non-profit institutions serving households' final consumption expenditure","26,769","27,294","-525"
"business gross fixed capital formation","404,337","390,007","14,330"
"non-profit institutions serving households' gross fixed capital formation","2,821","3,044","-223"
"government gross fixed capital formation","72,216","76,688","-4,472"
"inventories","9,248","8,488","760"
"exports","626,280","624,594","1,686"
"imports","646,555","643,209","3,346"
"gross domestic product at market prices","1,983,117","1,973,043","10,074"
"2015","","",""
"household final consumption expenditure","1,115,965","1,111,616","4,349"
"government final consumption expenditure","417,730","419,848","-2,118"
"non-profit institutions serving households' final consumption expenditure","27,773","28,315","-542"
"business gross fixed capital formation","390,858","379,565","11,293"
"non-profit institutions serving households' gross fixed capital formation","2,793","3,096","-303"
"government gross fixed capital formation","76,881","79,896","-3,015"
"inventories","2,746","6,093","-3,347"
"exports","627,234","625,431","1,803"
"imports","674,694","671,243","3,451"
"gross domestic product at market prices","1,986,193","1,983,288","2,905"
