"","oral contraceptive pill","oral contraceptive pill","oral contraceptive pill","withdrawal or pulling out","withdrawal or pulling out","withdrawal or pulling out","intrauterine device (iud) or long-acting reversible contraceptive","intrauterine device (iud) or long-acting reversible contraceptive","intrauterine device (iud) or long-acting reversible contraceptive","other hormonal methods","other hormonal methods","other hormonal methods","other","other","other","none of these methods","none of these methods","none of these methods"
"","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval","%","95% confidence interval","95% confidence interval"
"","%","from","to","%","from","to","%","from","to","%","from","to","%","from","to","%","from","to"
"total, 15- to 24-year-olds","48.3","46.4","50.3","4.8","3.9","5.8","3.6","3.0","4.3","3.3","2.8","4.0","1.1","0.8","1.5","40.8","38.9","42.8"
"sex","","","","","","","","","","","","","","","","","",""
"female","51.7","48.9","54.4","4.9","3.8","6.4","4.6","3.7","5.7","3.9","3.1","5.0","1.2","0.8","1.8","35.4","32.7","38.2"
"male","45.0","42.3","47.8","4.6","3.5","6.0","2.7","1.9","3.6","2.7","2.0","3.7","1.0","0.6","1.8","46.2","43.4","49.0"
"age group","","","","","","","","","","","","","","","","","",""
"15 to 17","53.7","49.0","58.3","3.0","1.8","4.8","f","..","..","2.2","1.3","3.7","f","..","..","41.6","37.1","46.3"
"18 to 19","52.9","48.6","57.2","5.4","3.6","8.0","1.9","1.2","3.1","3.7","2.4","5.7","f","..","..","36.7","32.7","41.0"
"20 to 24","46.2","43.8","48.7","4.9","3.9","6.1","4.5","3.7","5.4","3.4","2.7","4.2","1.4","1.0","2.0","41.9","39.5","44.3"
"dual use","","","","","","","","","","","","","","","","","",""
"total","51.9","49.0","54.8","35.1","26.3","45.1","18.8","13.6","25.4","33.2","25.3","42.2","40.8","26.8","56.4","77.1","74.2","79.7"
"sex","","","","","","","","","","","","","","","","","",""
"female","50.3","46.5","54.0","32.9","21.5","46.8","23.8","16.4","33.0","33.0","23.5","44.0","39.9","23.6","58.8","70.9","66.3","75.1"
"male","53.8","49.4","58.2","37.4","25.1","51.6","10.3","5.6","18.1","33.6","21.2","48.7","41.8","20.6","66.5","81.8","78.0","85.0"
"age group","","","","","","","","","","","","","","","","","",""
"15 to 17","72.3","66.4","77.5","35.8","17.4","59.6","f","..","..","53.9","27.8","78.1","81.3","31.5","97.6","93.5","89.2","96.2"
"18 to 19","64.9","59.0","70.5","39.2","21.3","60.7","f","..","..","25.8","13.6","43.5","74.0","33.4","94.2","79.4","72.6","84.8"
"20 to 24","44.0","40.4","47.8","33.7","23.4","45.7","17.2","11.9","24.1","33.7","24.1","44.9","35.0","20.3","53.2","74.1","70.5","77.4"
