"","000'","%","95% confidence interval","95% confidence interval"
"","000'","%","from","to"
"total, 15- to 24-year-olds","110.6","10.6","9.1","12.3"
"age group","","","",""
"15 to 17","12.6","11.6","8.3","15.9"
"18 to 19","27.2","13.0","9.4","17.8"
"20 to 24","70.8","9.8","8.0","11.9"
"province or territory","","","",""
"newfoundland and labrador","f","f","..",".."
"prince edward island","f","f","..",".."
"nova scotia","2.3","8.5","4.3","16.1"
"new brunswick","3.8","15.4","8.0","27.5"
"quebec","23.2","8.3","6.1","11.4"
"ontario","43.5","11.8","8.7","15.7"
"manitoba","f","f","..",".."
"saskatchewan","3.8","13.8","7.2","25.0"
"alberta","12.0","9.9","7.1","13.6"
"british columbia","14.4","11.3","7.9","16.0"
"yukon","f","f","..",".."
"northwest territories","f","f","..",".."
"nunavut","f","f","..",".."
"number of partners in past year","","","",""
"one","58.5","8.2","6.7","10.0"
"multiple","51.5","15.8","12.5","19.8"
"used some method of contraception or condom the last time they had sex","","","",""
"dual use","28.4","9.2","6.9","12.0"
"condom only","30.9","11.8","8.5","16.2"
"other method","40.3","11.2","8.5","14.5"
"no contraception or condom","10.0","9.3","6.0","14.3"
