"characteristics","men","men","men","men","men","women","women","women","women","women"
"characteristics","economic class principal applicants","economic class principal applicants","economic class principal applicants","economic class principal applicants","canadian-born","economic class principal applicants","economic class principal applicants","economic class principal applicants","economic class principal applicants","canadian-born"
"characteristics","total","skilled workers","business class","live-in caregivers","total","total","skilled workers","business class","live-in caregivers","total"
"total","","","","","","","","","",""
"number","337,725","296,025","40,595","1,105","4,917,820","169,680","116,700","7,085","45,600","5,113,155"
"%","100.0","87.7","12.0","0.3","..","100.0","69.0","4.2","26.9",".."
"age","45.9","44.8","54.4","43.6","46.2","44.4","43.9","51.8","44.4","46.4"
"","% distribution","% distribution","% distribution","% distribution","% distribution","% distribution","% distribution","% distribution","% distribution","% distribution"
"age group","","","","","","","","","",""
"25 to 44","46.8","51.3","13.2","55.8","46.8","52.2","54.0","19.4","52.5","46.4"
"45 to 54","34.6","34.1","37.7","31.1","25.8","35.1","34.2","43.9","35.9","25.7"
"55 to 74","18.7","14.5","49.1","13.1","27.4","12.8","11.7","36.7","11.6","27.9"
"world region","","","","","","","","","",""
"caribbean/central and south america","5.2","5.7","1.3","6.2","..","9.5","9.8","1.5","9.9",".."
"western europe","11.0","10.7","13.2","3.7","..","8.2","7.8","8.5","9.2",".."
"eastern europe","12.2","13.7","1.9","5.2","..","10.4","13.9","2.3","2.6",".."
"southwest asia and africa","12.5","12.8","10.8","3.4","..","7.2","9.9","4.5","0.9",".."
"south asia","19.1","20.8","6.6","5.3","..","6.6","9.0","1.8","1.1",".."
"southeast asia","7.2","7.6","2.5","69.9","..","31.3","16.3","3.4","74.1",".."
"east asia","30.9","26.8","62.1","4.7","..","24.6","30.6","75.2","1.2",".."
"other","1.9","2.0","1.6","1.5","..","2.3","2.8","2.9","1.0",".."
"landing year","","","","","","","","","",""
"1980 to 1992","28.8","27.8","35.7","31.7","..","33.9","32.6","30.3","37.8",".."
"1993 to 2006","71.3","72.2","64.3","68.3","..","66.1","67.4","69.7","62.2",".."
"university graduation","69.1","73.2","39.5","41.6","18.9","56.9","65.7","35.8","37.7","20.3"
"langauge proficiency","","","","","","","","","",""
"english and/or french","79.1","82.8","51.6","94.5","99.9","86.7","84.3","46.7","99.0","99.9"
"none","20.9","17.2","48.4","5.5","0.1","13.3","15.7","53.4","1.0",""
