"institution","all federal obligations","r&d","r&d plant","facilities for instruction in s&e","fellowships, traineeships, and training grants","general support for s&e","other s&e activities"
"all haie institutions","75122.4","66066.7","723.7","0","3621.6","55.2","4655.2"
"u. alaska, fairbanks, fairbanks campus","69185.8","61883","581.7","0","3021.3","55.2","3644.6"
"u. alaska, southeast, juneau","4489.9","3084.6","142","0","252.6","0","1010.6"
"northern new mexico c","599.8","575.8","0","0","24","0","0"
"fort lewis c","258.7","135","0","0","123.7","0","0"
"east central u","253.4","53.4","0","0","200","0","0"
"redlands community c","137.2","137.2","0","0","0","0","0"
"u. north carolina, pembroke","122.7","122.7","0","0","0","0","0"
"northeastern state u","64.5","64.5","0","0","0","0","0"
"alaska pacific u","10.4","10.4","0","0","0","0","0"
