"no","pos","nat","player","total","total","third division","third division","league cup","league cup","challenge cup","challenge cup","scottish cup","scottish cup"
"no","pos","nat","player","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"none","gk","scotland","derek barnes","6","0","6+0","0","0+0","0","0+0","0","0+0","0"
"none","gk","scotland","kenny meechan","36","0","30+0","0","2+0","0","1+0","0","3+0","0"
"none","df","scotland","craig brittain","29","2","23+0","2","2+0","0","1+0","0","3+0","0"
"none","df","scotland","jamie bruce","27","1","21+1","0","2+0","1","0+0","0","3+0","0"
"none","df","scotland","tom currie","16","0","15+0","0","0+0","0","0+0","0","1+0","0"
"none","df","scotland","chris dalrymple","3","0","3+0","0","0+0","0","0+0","0","0+0","0"
"none","df","scotland","billy davidson","6","0","4+2","0","0+0","0","0+0","0","0+0","0"
"none","df","scotland","stevie gow","25","1","21+0","1","2+0","0","0+0","0","2+0","0"
"none","df","scotland","alex grace","32","4","23+5","4","0+1","0","0+1","0","1+1","0"
"none","df","scotland","stephen hamill","1","0","0+0","0","0+0","0","0+1","0","0+0","0"
"none","df","scotland","stephen jack","12","0","11+1","0","0+0","0","0+0","0","0+0","0"
"none","df","scotland","martin melvin","3","0","1+0","0","0+1","0","1+0","0","0+0","0"
"none","df","scotland","david reid","17","0","15+1","0","0+0","0","0+1","0","0+0","0"
"none","mf","scotland","jim meechan","41","5","36+0","5","2+0","0","0+0","0","3+0","0"
"none","mf","scotland","adrian mellis","19","1","5+11","1","1+0","0","1+0","0","0+1","0"
"none","mf","scotland","billy melvin","7","0","7+0","0","0+0","0","0+0","0","0+0","0"
"none","mf","sweden","robert prytz","3","0","3+0","0","0+0","0","0+0","0","0+0","0"
"none","mf","scotland","willie wilson","38","1","30+2","1","2+0","0","1+0","0","3+0","0"
"none","fw","scotland","chris ewing","2","0","1+1","0","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","marc falconer","8","0","6+2","0","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","paddy flannery","13","0","5+6","0","0+0","0","0+0","0","2+0","0"
"none","fw","scotland","martin glancy","26","2","11+10","2","2+0","0","1+0","0","0+2","0"
"none","fw","iceland","hrienn hringsson","2","0","2+0","0","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","ross mccuaig","18","1","12+4","0","0+0","0","0+0","0","2+0","1"
"none","fw","scotland","colin mckinnon","39","11","32+1","10","2+0","1","1+0","0","3+0","0"
"none","fw","scotland","martin mooney","36","5","26+4","5","2+0","0","1+0","0","3+0","0"
"none","fw","finland","tommi orismaa","1","0","0+1","0","0+0","0","0+0","0","0+0","0"
"none","fw","scotland","robert reilly","10","1","4+2","1","1+1","0","1+0","0","0+1","0"
"none","fw","scotland","lee sharp","40","8","34+0","7","2+0","0","1+0","0","3+0","1"
"none","fw","scotland","hugh ward","26","3","9+11","3","0+2","0","1+0","0","1+2","0"
