"","type of media used","type of media used","type of media used","type of media used","type of media used"
"","newspapers","magazines","television","radio","internet"
"","percentage","percentage","percentage","percentage","percentage"
"total","49","17","75","48","58"
"men","48","15","73","49","62"
"women","50","19","77","48","55"
"age group","","","","",""
"15 to 34 years","39","13","60","43","77"
"35 to 54 years","45","16","75","54","63"
"55 years and older","62","21","89","48","36"
"highest level of education","","","","",""
"less than a high school diploma","52","13","86","41","20"
"high school diploma","51","15","82","47","43"
"postsecondary diploma or certificate","50","17","79","52","57"
"university degree","51","23","71","54","76"
"province of residence","","","","",""
"newfoundland and labrador","39","12","81","55","53"
"prince edward island","59","16","78","57","58"
"nova scotia","50","14","72","55","54"
"new brunswick","50","14","74","52","53"
"quebec","52","16","82","48","51"
"ontario","48","18","74","49","61"
"manitoba","54","18","72","46","56"
"saskatchewan","45","17","73","54","57"
"alberta","43","16","69","49","63"
"british columbia","52","18","70","43","61"
