"screening strategy","screening examinations","recalled for no cancer","recalled for no cancer","negative biopsies","negative biopsies"
"screening strategy","screening examinations","number","%","number","%"
"annual 40 to 69","27,064","2,623","9.7","276","1.0"
"annual 40 to 74","30,439","2,865","9.4","308","1.0"
"annual 50 to 69","17,405","1,528","8.8","163","0.9"
"annual 50 to 74","20,805","1,773","8.5","195","0.9"
"biennial 40 to 74","15,741","1,698","10.8","276","1.8"
"biennial 50 to 69","8,817","895","10.2","144","1.6"
"biennial 50 to 74","10,887","1,069","9.8","179","1.6"
"triennial 50 to 69","6,188","699","11.3","141","2.3"
"triennial 50 to 74","7,561","826","10.9","173","2.3"
"annual 40 to 49, biennial 50 to 69","18,537","1,906","10.3","258","1.4"
"annual 40 to 49, biennial 50 to 74","20,592","2,052","10.0","292","1.4"
