"life event in past year","event frequency","percentage of delayed tax filers"
"","percent","percent"
"total","..","2.2"
"change in marital status","",""
"single to married or common-law","1.60","3.2"
"married or common-law to separated or divorced","0.85","5.6"
"married or common-law to single","0.29","9.1"
"married or common-law to widowed","0.37","1.3"
"migrant","",""
"interprovincial migrant","0.98","6.1"
"emigrant","0.02","17.2"
"change in employment earnings","",""
"increased by 50% or more","8.28","3.1"
"increased by 25% or more","14.15","2.9"
"increased by 10% or more","23.16","2.8"
"changed by -9% to 9%","27.93","2.2"
"decreased by 10% or more","15.05","3.1"
"decreased by 25% or more","10.45","3.3"
"decreased by 50% or more","7.50","3.6"
"change in employment insurance receipt","",""
"new recipient","4.42","2.8"
"former recipient","4.07","3.1"
