"","initial tax filers","delayed tax filers"
"","percent","percent"
"income sources","",""
"business self-employment","7.2","13.4"
"commission","0.7","1.3"
"farming","1.9","1.0"
"fishing","0.2","0.2"
"professional","1.4","1.7"
"rental","5.4","4.5"
"","2010 constant dollars","2010 constant dollars"
"average conditional income sources","",""
"business self-employment","11,500","12,450"
"commission","18,150","17,200"
"farming","4,700","-2,150"
"fishing","20,400","17,600"
"professional","62,500","35,200"
"rental","1,900","-1,150"
