"type of income and percentile","1990","1995","2000","2005","2010"
"","2010 constant dollars","2010 constant dollars","2010 constant dollars","2010 constant dollars","2010 constant dollars"
"panel a - employment earnings","","","","",""
"95th percentile","-50","-250","-100","-100","-50"
"99th percentile","0","-450","-400","-500","-200"
"99.9th percentile","-300","-4,550","-6,900","-6,500","-2,550"
"panel b - business self-employment income","","","","",""
"95th percentile","0","50","850","1,050","700"
"99th percentile","850","750","1,450","1,650","1,050"
"99.9th percentile","1,950","1,700","2,450","3,000","1,600"
"panel c - total income","","","","",""
"95th percentile","0","-250","-100","-100","-200"
"99th percentile","400","-700","-1,200","-1,150","-1,250"
"99.9th percentile","7,500","-950","-5,750","-7,000","-7,850"
