"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"giulianova","2003-04","serie c","7","0","0","0","-","-","7","0","none","none"
"ancona","2004-05","serie c","26","2","0","0","-","-","26","2","none","none"
"giulianova","2005-06","serie c","25","1","0","0","-","-","25","1","none","none"
"giulianova","2006-07","serie c","32","11","0","0","-","-","32","11","none","none"
"giulianova","total","total","64","12","0","0","0","0","0","0","64","12"
"venezia","2007-08","serie c","27","6","0","0","-","-","27","6","none","none"
"catania","2008-09","serie a","4","0","2","0","-","-","6","0","none","none"
"pisa","2008-09","serie b","20","1","0","0","-","-","20","1","none","none"
"ascoli","2009-10","serie b","40","24","1","0","-","-","41","24","none","none"
"catania","2010-11","serie a","14","1","3","2","-","-","17","3","none","none"
"torino","2010-11","serie b","19","6","0","0","-","-","19","6","none","none"
"torino","2011-12","serie b","41","10","2","1","-","-","43","11","none","none"
"torino","total","total","60","16","2","1","0","0","0","0","62","17"
"catania","2012-13","serie a","1","0","0","0","-","-","1","0","none","none"
"catania","total","total","19","1","5","2","0","0","0","0","24","3"
"spezia","2012-13","serie b","33","6","0","0","-","-","33","6","none","none"
"ternana","2013-14","serie b","40","19","1","0","-","-","41","19","none","none"
"ternana","2014-15","serie b","0","0","1","0","-","-","1","0","none","none"
"ternana","total","total","40","19","2","0","0","0","0","0","42","19"
"leeds","2014-15","championship","36","10","1","0","-","-","37","10","none","none"
"leeds","2015-16","championship","39","9","4","0","-","-","43","9","none","none"
"leeds","total","total","75","19","5","0","0","0","0","0","80","19"
"spal","2016-17","serie b","37","18","2","2","-","-","39","20","none","none"
"spal","2017-18","serie a","33","11","1","0","-","-","34","11","none","none"
"spal","2018-19","serie a","30","5","1","0","-","-","31","5","none","none"
"spal","total","total","100","34","4","2","0","0","0","0","104","36"
"career total","career total","career total","504","139","19","5","0","0","0","0","523","144"
