"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"manchester city","2001-02","first division","0","0","0","0","0","0","-","-","0","0"
"manchester city","2002-03","premier league","0","0","0","0","0","0","-","-","0","0"
"manchester city","2003-04","premier league","0","0","-","-","0","0","1","0","1","0"
"manchester city","total","total","0","0","0","0","0","0","1","0","1","0"
"bury","2003-04","third division","13","0","1","0","-","-","1","0","15","0"
"sheffield wednesday","2004-05","league one","36","2","1","1","2","0","3","1","42","4"
"sheffield wednesday","2005-06","championship","43","1","1","0","2","0","-","-","46","1"
"sheffield wednesday","2006-07","championship","38","7","2","0","1","1","-","-","41","8"
"sheffield wednesday","2007-08","championship","25","2","2","0","3","1","-","-","30","3"
"sheffield wednesday","total","total","142","12","6","1","8","2","3","1","159","16"
"stoke city","2007-08","championship","14","1","-","-","14","1","none","none","none","none"
"stoke city","2008-09","premier league","26","1","1","0","4","2","-","-","31","3"
"stoke city","2009-10","premier league","33","2","4","0","1","0","-","-","38","2"
"stoke city","2010-11","premier league","29","0","7","0","3","0","-","-","39","0"
"stoke city","2011-12","premier league","30","1","4","0","2","0","7","1","43","2"
"stoke city","2012-13","premier league","32","0","2","0","0","0","-","-","34","0"
"stoke city","2013-14","premier league","32","0","1","0","3","0","-","-","36","0"
"stoke city","2014-15","premier league","28","0","2","0","0","0","-","-","30","0"
"stoke city","2015-16","premier league","37","0","1","0","4","0","-","-","42","0"
"stoke city","2016-17","premier league","30","0","0","0","1","0","-","-","31","0"
"stoke city","total","total","291","5","22","0","18","2","7","1","338","8"
"aston villa","2017-18","championship","33","1","0","0","0","0","2","0","35","1"
"aston villa","2018-19","championship","24","1","1","0","1","0","-","-","26","1"
"aston villa","total","total","57","2","1","0","1","0","2","0","61","2"
"career total","career total","career total","503","19","30","1","27","4","14","2","573","26"
