"living arrangement","women","women","men","men"
"living arrangement","with disabilities","without disabilities","with disabilities","without disabilities"
"living arrangement","dollars","dollars","dollars","dollars"
"persons aged 15 or older","","","",""
"individual living alone","25,690","34,000","27,170","38,660"
"living with spouse or partner","63,620","75,460","62,120","75,400"
"living with spouse or partner and children","82,950","96,530","83,420","93,900"
"lone parent","51,950","51,070","55,180","68,360"
"child living with parent(s)","77,790","98,920","76,840","97,030"
"other arrangement","83,360","75,430","65,220","73,420"
"persons aged 15 to 24","","","",""
"individual living alone","20,100","17,090","14,810","21,650"
"living with spouse or partner","40,670","60,120","43,590","58,140"
"living with spouse or partner and children","40,290","51,480","f","53,330"
"lone parent","36,770","42,470","45,890","70,130"
"child living with parent(s)","82,770","99,110","84,480","96,510"
"other arrangement","40,830","50,620","62,730","56,110"
"persons aged 25 to 44","","","",""
"individual living alone","25,620","39,330","26,970","41,450"
"living with spouse or partner","67,850","81,510","63,400","78,070"
"living with spouse or partner and children","75,360","89,030","74,420","84,890"
"lone parent","32,270","45,210","44,120","58,990"
"child living with parent(s)","77,270","105,460","72,690","102,610"
"other arrangement","62,690","82,940","56,930","78,930"
"persons aged 45 to 64","","","",""
"individual living alone","24,220","36,870","26,220","40,810"
"living with spouse or partner","68,560","80,480","68,420","81,440"
"living with spouse or partner and children","88,300","110,100","87,280","105,070"
"lone parent","52,140","57,780","51,230","73,100"
"child living with parent(s)","63,200","70,760","58,060","71,130"
"other arrangement","66,210","87,650","60,970","84,960"
"persons aged 65 to 74","","","",""
"individual living alone","27,620","30,160","24,720","31,830"
"living with spouse or partner","60,240","65,990","58,690","69,230"
"living with spouse or partner and children","76,990","92,340","87,850","98,050"
"lone parent","62,310","56,930","76,950","69,480"
"child living with parent(s)","f","67,660","f","81,670"
"other arrangement","83,100","80,530","63,890","71,780"
"persons aged 75 or older","","","",""
"individual living alone","25,840","29,530","34,200","32,750"
"living with spouse or partner","57,530","60,100","57,660","61,030"
"living with spouse or partner and children","92,250","75,430","75,730","88,430"
"lone parent","76,050","60,040","66,610","86,030"
"child living with parent(s)","f","f","f","f"
"other arrangement","104,690","90,340","100,510","76,190"
