"","15 years and older","15 to 24 years","25 to 54 years","55 years and older"
"","percent","percent","percent","percent"
"share of workers working part time","19","49","12","23"
"age distribution of part-time workers","100","34","41","25"
"primary reason for working part time","","","",""
"all reasons","100","100","100","100"
"economic reasons","24","18","34","17"
"caring for own children","9","0","21","1"
"going to school","29","73","10","0"
"personal preference","28","6","21","70"
"other","10","3","14","13"
