"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"talleres","2004-05","primera b metropolitana","5","0","0","0","-","-","0","0","5","0"
"sarmiento","2011-12","torneo argentino b","22","0","0","0","-","-","0","0","22","0"
"central cordoba","2012-13","torneo argentino a","4","0","1","0","-","-","0","0","5","0"
"sportivo patria","2015","torneo federal a","16","1","0","0","-","-","0","0","16","1"
"sportivo patria","2016","torneo federal a","10","0","0","0","-","-","0","0","10","0"
"sportivo patria","2016-17","torneo federal a","12","0","0","0","-","-","2","1","14","1"
"sportivo patria","total","total","38","1","0","0","-","-","2","1","40","2"
"chaco for ever","2017-18","torneo federal a","21","1","1","0","-","-","0","0","22","1"
"all boys","2018-19","primera b metropolitana","9","0","1","0","-","-","0","0","10","0"
"career total","career total","career total","99","2","3","0","-","-","2","1","104","3"
