"place","athlete","preliminary","preliminary","preliminary","preliminary","final","final","final","best mark"
"place","athlete","1","2","3","rank","4","5","6","best mark"
"1","pat mcdonald","14.54","14.27","14.78","2nd","15.34 or","-","-","15.34"
"2","ralph rose","14.98 or","14.68","15.25 or","1st","14.96","-","-","15.25"
"3","lawrence whitney","-","-","13.93","3rd","-","-","-","13.93"
"none","none","none","none","none","none","none","none","none","none"
"4","elmer niklander","13.52","-","13.65","4th","none","none","none","13.65"
"5","george philbrook","12.84","13.13","-","5th","none","none","none","13.13"
"6","imre mudin","6th","12.81","none","none","none","none","none","none"
"7","einar nilsson","12.18","-","12.62","7th","none","none","none","12.62"
"8","patrick quinn","8th","12.53","none","none","none","none","none","none"
"9","andre tison","-","11.74","12.41","9th","none","none","none","12.41"
"10","paavo aho","10th","12.40","none","none","none","none","none","none"
"11","michalis dorizas","11th","12.05","none","none","none","none","none","none"
"12","aurelio lenzi","10.52","11.25","11.57","12th","none","none","none","11.57"
"13","josef schaffer","11.44","-","-","13th","none","none","none","11.44"
"14","karl halt","14th","11.16","none","none","none","none","none","none"
"15","frantisek janda-suk","15th","11.15","none","none","none","none","none","none"
"16","raoul paoli","9.81","10.61","11.11","16th","none","none","none","11.11"
"17","marcel pelletier","10.68","11.04","-","17th","none","none","none","11.04"
"18","paul willfuhr","-","-","10.90","18th","none","none","none","10.90"
"19","mgirdic migiryan","10.33","-","10.63","19th","none","none","none","10.63"
"20","eriks vanags","-","-","10.44","20th","none","none","none","10.44"
"21","arvids ozols-berne","-","10.33","-","21st","none","none","none","10.33"
"22","charles lagarde","9.41","-","-","22nd","none","none","none","9.41"
