"volunteer activity","total - 65 years and over","total - 65 years and over","65 to 74 years","65 to 74 years","75 years and over","75 years and over"
"volunteer activity","women","men","women","men","women","men"
"volunteer activity","percentage","percentage","percentage","percentage","percentage","percentage"
"canvassing","9","12","10","12","7","11"
"fundraising","36","32","37","34","35","27"
"comittee or board","43","44","46","45","37","42"
"teaching or mentoring","21","23","25","26","15","18"
"organizing activities or events","41","40","43","43","36","35"
"office work","27","20","30","25","23","12"
"coaching, refereeing, or officiating","5","8","6","11","f","f"
"counselling or providing advice","22","33","24","35","19","30"
"health care or support","22","22","22","21","23","24"
"collecting, serving, or delivering goods","29","23","28","23","32","24"
"maintenance, repair, or building","7","24","8","28","4","17"
"volunteer driving","13","19","12","21","14","16"
"providing first aid, fire-fighting, or search and rescue","2","3","2","5","f","f"
"protecting the environment","11","17","12","21","7","11"
"other","28","24","29","25","27","22"
