"chronic health condition","total - 65 years and over","total - 65 years and over","65 to 74 years","65 to 74 years","75 to 84 years","75 to 84 years","85 years and over","85 years and over"
"chronic health condition","women","men","women","men","women","men","women","men"
"chronic health condition","percentage","percentage","percentage","percentage","percentage","percentage","percentage","percentage"
"at least one chronic health condition","84.4","82.2","80.9","79.4","88.7","86.4","91.0","88.4"
"high blood pressure","48.4","46.5","44.6","44.7","53.5","50.6","55.0","45.4"
"arthritis","48.2","33.0","44.0","29.8","53.3","37.8","55.8","40.3"
"back problems","25.9","24.2","24.8","24.0","27.3","24.9","27.7","22.2"
"diabetes","15.5","20.6","14.4","20.6","17.4","22.0","15.6","15.1"
"heart disease","13.7","20.1","9.3","16.7","17.3","24.9","26.8","28.8"
"urinary incontinence","13.6","9.1","9.9","6.3","15.4","12.8","28.1","18.1"
"asthma","8.8","6.4","8.9","6.6","9.1","6.2","7.4","5.7"
"bowel disorder","7.9","3.4","7.6","3.3","8.5","3.6","7.9","3.4"
"chronic obstructive pulmonary disease","7.7","7.1","6.6","6.2","9.5","8.6","8.0","8.8"
"mood disorder","7.5","5.0","8.3","5.5","6.8","4.0","5.5","5.1"
"migraine","6.3","2.8","7.5","3.2","4.9","2.0","4.1","2.6"
"anxiety disorder","6.0","3.5","6.7","3.9","5.1","3.0","5.1","2.3"
"cancer","4.8","6.6","4.1","5.3","6.1","7.9","5.0","12.2"
"scoliosis","4.2","1.7","4.5","1.5","3.8","2.1","4.0","f"
"ulcer","3.8","2.9","3.8","2.8","4.1","3.0","3.0","2.6"
"effects of stroke","3.3","4.0","2.1","3.2","4.4","5.0","7.3","6.9"
"alzheimer's disease or other dementia","2.2","2.3","0.6","0.8","3.2","4.1","8.2","7.0"
